Categories,pval,Bonferroni,B&H_FDR_adjusted_pval,B&Y_FDR_adjusted_pval
Dodecanol,0.06140350877186356,1.0,0.22380718150492324,1.0
Thallium,0.06140350877186356,1.0,0.22380718150492324,1.0
Azirines,0.06140350877186356,1.0,0.22380718150492324,1.0
Myristic Acids,0.06140350877186356,1.0,0.22380718150492324,1.0
Lincomycins,0.06140350877186356,1.0,0.22380718150492324,1.0
Thiourea,0.06140350877186356,1.0,0.22380718150492324,1.0
Lincomycin,0.06140350877186356,1.0,0.22380718150492324,1.0
"Dietary Fats, Unsaturated",0.06140350877186356,1.0,0.22380718150492324,1.0
14-alpha Demethylase Inhibitors,0.06140350877186356,1.0,0.22380718150492324,1.0
"Fatty Acids, Omega-3",0.06140350877186356,1.0,0.22380718150492324,1.0
Carbamide products,0.06140350877186356,1.0,0.22380718150492324,1.0
Nitrates,0.06140350877186356,1.0,0.22380718150492324,1.0
"Diuretics, Osmotic",0.06140350877186356,1.0,0.22380718150492324,1.0
"Antineoplastic Agents, Phytogenic",0.06140350877186356,1.0,0.22380718150492324,1.0
Lipase Inhibitors,0.06140350877186356,1.0,0.22380718150492324,1.0
4-Hydroxycoumarins,0.06140350877186356,1.0,0.22380718150492324,1.0
Chenodeoxycholic Acid,0.06140350877186356,1.0,0.22380718150492324,1.0
Anti-Anxiety Agents,0.06140350877186356,1.0,0.22380718150492324,1.0
Glutathione,0.06140350877186356,1.0,0.22380718150492324,1.0
Peripherally Acting Antiobesity Products,0.06140350877186356,1.0,0.22380718150492324,1.0
"Aminopeptidases, antagonists & inhibitors",0.06140350877186356,1.0,0.22380718150492324,1.0
Phosphodiesterase Inhibitors,0.06140350877186356,1.0,0.22380718150492324,1.0
Antimutagenic Agents,0.06140350877186356,1.0,0.22380718150492324,1.0
Lincosamide Antibacterial,0.06140350877186356,1.0,0.22380718150492324,1.0
Vasodilators Used in Cardiac Diseases,0.06140350877186356,1.0,0.22380718150492324,1.0
Insecticides,0.06140350877186356,1.0,0.22380718150492324,1.0
Solutions Producing Osmotic Diuresis,0.06140350877186356,1.0,0.22380718150492324,1.0
"Chymotrypsin, antagonists & inhibitors",0.06140350877186356,1.0,0.22380718150492324,1.0
Glycodeoxycholic Acid,0.06140350877186356,1.0,0.22380718150492324,1.0
Morphine Derivatives,0.06140350877186356,1.0,0.22380718150492324,1.0
Blood Viscosity Reducer,0.06140350877186356,1.0,0.22380718150492324,1.0
Chloroacetates,0.06140350877186356,1.0,0.22380718150492324,1.0
Intestinal Lipase Inhibitor,0.06140350877186356,1.0,0.22380718150492324,1.0
Miscellaneous GI Drugs,0.06140350877186356,1.0,0.22380718150492324,1.0
Benzamidines,0.06140350877186356,1.0,0.22380718150492324,1.0
Cytochrome P450 3A Inhibitors,0.06140350877186356,1.0,0.22380718150492324,1.0
Dietary Fats,0.06140350877186356,1.0,0.22380718150492324,1.0
"Epilepsy, drug therapy",0.06140350877186356,1.0,0.22380718150492324,1.0
Theobromine,0.06140350877186356,1.0,0.22380718150492324,1.0
"Electron Transport Complex III, antagonists & inhibitors",0.06140350877186356,1.0,0.22380718150492324,1.0
Fats,0.06140350877186356,1.0,0.22380718150492324,1.0
Hemorrheologic Agents,0.06140350877186356,1.0,0.22380718150492324,1.0
"Amino Acids, Essential",0.06292268238280586,1.0,0.22528112568229172,1.0
Antiplatelet agents,0.06411847423265225,1.0,0.22528112568229172,1.0
Radiation-Sensitizing Agents,0.06411847423265225,1.0,0.22528112568229172,1.0
"Anti-Inflammatory Agents, Non-Steroidal",0.06411847423265225,1.0,0.22528112568229172,1.0
"Amino Acids, Peptides, and Proteins",0.06660582908943118,1.0,0.23193101200784072,1.0
Peripheral Nervous System Agents,0.07247727592669949,1.0,0.25014281072046723,1.0
Fatty Alcohols,0.08212764327627005,1.0,0.2809629901556607,1.0
Protective Agents,0.08852741735086575,1.0,0.3002234153638056,1.0
Acids,0.09394705922954986,1.0,0.30152380741917323,1.0
"Acids, Noncarboxylic",0.09394705922954986,1.0,0.30152380741917323,1.0
Amidines,0.10146013931838062,1.0,0.30152380741917323,1.0
"Amino Acids, Aromatic",0.10146013931838062,1.0,0.30152380741917323,1.0
Household Products,0.11906324703218635,1.0,0.30152380741917323,1.0
Decreased Sebaceous Gland Activity,0.11906324703218635,1.0,0.30152380741917323,1.0
Detergents,0.11906324703218635,1.0,0.30152380741917323,1.0
Arsenicals,0.11906324703218635,1.0,0.30152380741917323,1.0
Macrolide Antimicrobial,0.11906324703218635,1.0,0.30152380741917323,1.0
Inflammation Mediators,0.11906324703218635,1.0,0.30152380741917323,1.0
Cytochrome P450 3A4 Inhibitors,0.11906324703218635,1.0,0.30152380741917323,1.0
"Ribonucleotide Reductases, antagonists & inhibitors",0.11906324703218635,1.0,0.30152380741917323,1.0
Antimycotics for Systemic Use,0.11906324703218635,1.0,0.30152380741917323,1.0
Radiation-Protective Agents,0.11906324703218635,1.0,0.30152380741917323,1.0
Purine Derivatives,0.11906324703218635,1.0,0.30152380741917323,1.0
Hypnotics and Sedatives,0.11906324703218635,1.0,0.30152380741917323,1.0
Choline,0.11906324703218635,1.0,0.30152380741917323,1.0
Intercalating Agents,0.11906324703218635,1.0,0.30152380741917323,1.0
Nitrosourea Compounds,0.11906324703218635,1.0,0.30152380741917323,1.0
Basic Ointments and Protectants,0.11906324703218635,1.0,0.30152380741917323,1.0
Streptogramin Antibacterial,0.11906324703218635,1.0,0.30152380741917323,1.0
Autacoids,0.11906324703218635,1.0,0.30152380741917323,1.0
Cytochrome P-450 CYP2E1 Inhibitors (strong),0.11906324703218635,1.0,0.30152380741917323,1.0
Imidazole and Triazole Derivatives,0.11906324703218635,1.0,0.30152380741917323,1.0
Emollients and Protectives,0.11906324703218635,1.0,0.30152380741917323,1.0
Drugs Used in Addictive Disorders,0.11906324703218635,1.0,0.30152380741917323,1.0
Trypanocidal Agents,0.11906324703218635,1.0,0.30152380741917323,1.0
Antifungal Agents (Vaginal),0.11906324703218635,1.0,0.30152380741917323,1.0
"Vaginal Creams, Foams, and Jellies",0.11906324703218635,1.0,0.30152380741917323,1.0
Ethanolamines,0.11906324703218635,1.0,0.30152380741917323,1.0
Fibrinolytic Agents,0.11906324703218635,1.0,0.30152380741917323,1.0
Imidazole Derivatives,0.11906324703218635,1.0,0.30152380741917323,1.0
Steroid Synthesis Inhibitors,0.11906324703218635,1.0,0.30152380741917323,1.0
"Hydrocarbons, Chlorinated",0.11906324703218635,1.0,0.30152380741917323,1.0
i.v. Solutions,0.11906324703218635,1.0,0.30152380741917323,1.0
Anti-HIV Agents,0.11906324703218635,1.0,0.30152380741917323,1.0
Serine Proteinase Inhibitors,0.11906324703218635,1.0,0.30152380741917323,1.0
Triazenes,0.11906324703218635,1.0,0.30152380741917323,1.0
Organic Acids,0.11906324703218635,1.0,0.30152380741917323,1.0
Amino Acids,0.13961060903811645,1.0,0.3510106155361165,1.0
Alcohols,0.1404042462144466,1.0,0.3510106155361165,1.0
Cytochrome P-450 CYP3A7 Substrates,0.14320715976366002,1.0,0.3557375306231045,1.0
Lipids,0.15006955734703165,1.0,0.361290289433196,1.0
Oligosaccharides,0.1652323378554248,1.0,0.361290289433196,1.0
Free Radical Scavengers,0.17320584783788143,1.0,0.361290289433196,1.0
Benzylidene Compounds,0.17320584783788143,1.0,0.361290289433196,1.0
Opiate Alkaloids,0.17320584783788143,1.0,0.361290289433196,1.0
Anticonvulsants,0.17320584783788143,1.0,0.361290289433196,1.0
Chlorine Compounds,0.17320584783788143,1.0,0.361290289433196,1.0
Anticoagulants,0.17320584783788143,1.0,0.361290289433196,1.0
Peripheral Vasodilators,0.17320584783788143,1.0,0.361290289433196,1.0
Hormone Antagonists,0.17320584783788143,1.0,0.361290289433196,1.0
Streptogramins,0.17320584783788143,1.0,0.361290289433196,1.0
Herbicides,0.17320584783788143,1.0,0.361290289433196,1.0
"Antineoplastic Agents, Alkylating",0.17320584783788143,1.0,0.361290289433196,1.0
Nicotinic Acids,0.17320584783788143,1.0,0.361290289433196,1.0
Parasympatholytics,0.17320584783788143,1.0,0.361290289433196,1.0
Prodrugs,0.17320584783788143,1.0,0.361290289433196,1.0
Morphinans,0.17320584783788143,1.0,0.361290289433196,1.0
Deoxycholic Acid,0.17320584783788143,1.0,0.361290289433196,1.0
Tranquilizing Agents,0.17320584783788143,1.0,0.361290289433196,1.0
Antinematodal Agents,0.17320584783788143,1.0,0.361290289433196,1.0
Cytochrome P-450 CYP3A5 Inhibitors (strong),0.17320584783788143,1.0,0.361290289433196,1.0
"Fatty Acids, Unsaturated",0.17320584783788143,1.0,0.361290289433196,1.0
Other Macrolides,0.17320584783788143,1.0,0.361290289433196,1.0
Flavins,0.17320584783788143,1.0,0.361290289433196,1.0
Drugs for Obstructive Airway Diseases,0.17320584783788143,1.0,0.361290289433196,1.0
Benzyl Compounds,0.17320584783788143,1.0,0.361290289433196,1.0
Alkylating Activity,0.17320584783788143,1.0,0.361290289433196,1.0
Erythromycin,0.17320584783788143,1.0,0.361290289433196,1.0
Glucosamine,0.17320584783788143,1.0,0.361290289433196,1.0
"Acids, Acyclic",0.1732340618564299,1.0,0.361290289433196,1.0
OCT2 Inhibitors,0.18779852437344055,1.0,0.38548118160864114,1.0
Polysaccharides,0.18779852437344055,1.0,0.38548118160864114,1.0
"Analgesics, Non-Narcotic",0.18779852437344055,1.0,0.38548118160864114,1.0
Chemically-Induced Disorders,0.2107577587291228,1.0,0.4296672827386121,1.0
Gynecological Antiinfectives and Antiseptics,0.21152850842516288,1.0,0.4296672827386121,1.0
Phenanthrenes,0.22404432321377382,1.0,0.43171114766153795,1.0
Trimethyl Ammonium Compounds,0.22404432321377382,1.0,0.43171114766153795,1.0
Alkanesulfonic Acids,0.22404432321377382,1.0,0.43171114766153795,1.0
Antiinfectives for Treatment of Acne,0.22404432321377382,1.0,0.43171114766153795,1.0
Uncoupling Agents,0.22404432321377382,1.0,0.43171114766153795,1.0
Anticarcinogenic Agents,0.22404432321377382,1.0,0.43171114766153795,1.0
Coumarins,0.22404432321377382,1.0,0.43171114766153795,1.0
Keratolytic Agents,0.22404432321377382,1.0,0.43171114766153795,1.0
Cytochrome P-450 CYP2C9 Inhibitors (moderate),0.22404432321377382,1.0,0.43171114766153795,1.0
Photosensitizing Agents,0.22404432321377382,1.0,0.43171114766153795,1.0
Food,0.2280320420981457,1.0,0.43171114766153795,1.0
"Diet, Food, and Nutrition",0.2280320420981457,1.0,0.43171114766153795,1.0
Physiological Phenomena,0.2280320420981457,1.0,0.43171114766153795,1.0
Food and Beverages,0.2280320420981457,1.0,0.43171114766153795,1.0
Immunologic Factors,0.2339779680823952,1.0,0.43953564744405155,1.0
Cytochrome P-450 CYP3A4 Inhibitors,0.23441901197016082,1.0,0.43953564744405155,1.0
Genito Urinary System and Sex Hormones,0.24477259706740576,1.0,0.4567526930922883,1.0
Cytochrome P-450 CYP3A Inhibitors,0.24612364528134534,1.0,0.4570867698082128,1.0
Alkaloids,0.25734159773637694,1.0,0.4588474544618779,1.0
Agents causing hyperkalemia,0.25734159773637694,1.0,0.4588474544618779,1.0
Sulfur Compounds,0.26643906189024447,1.0,0.4588474544618779,1.0
Quaternary Ammonium Compounds,0.2717788768735738,1.0,0.4588474544618779,1.0
Opioids,0.2717788768735738,1.0,0.4588474544618779,1.0
Cholanes,0.2717788768735738,1.0,0.4588474544618779,1.0
Vasoconstrictor Agents,0.2717788768735738,1.0,0.4588474544618779,1.0
Glucans,0.2717788768735738,1.0,0.4588474544618779,1.0
Amino Alcohols,0.2717788768735738,1.0,0.4588474544618779,1.0
Bile Acids and Salts,0.2717788768735738,1.0,0.4588474544618779,1.0
Cytochrome P-450 CYP2C9 Inhibitors (strong),0.2717788768735738,1.0,0.4588474544618779,1.0
Cyclooxygenase Inhibitors,0.2717788768735738,1.0,0.4588474544618779,1.0
Ammonium Compounds,0.2717788768735738,1.0,0.4588474544618779,1.0
Antifungals for Dermatological Use,0.2717788768735738,1.0,0.4588474544618779,1.0
Diagnostic Agents,0.2717788768735738,1.0,0.4588474544618779,1.0
Antifungals for Topical Use,0.2717788768735738,1.0,0.4588474544618779,1.0
Anthelmintics,0.2717788768735738,1.0,0.4588474544618779,1.0
Biopolymers,0.2717788768735738,1.0,0.4588474544618779,1.0
Cholic Acids,0.2717788768735738,1.0,0.4588474544618779,1.0
Anti-Obesity Agents,0.2717788768735738,1.0,0.4588474544618779,1.0
Onium Compounds,0.2717788768735738,1.0,0.4588474544618779,1.0
Cytochrome P-450 CYP3A5 Substrates,0.2807443478868155,1.0,0.4699154320852277,1.0
Blood and Blood Forming Organs,0.2807443478868155,1.0,0.4699154320852277,1.0
"Amino Acids, Cyclic",0.3040940089685457,1.0,0.5039717993304059,1.0
Fatty Acids,0.3115990111270516,1.0,0.5039717993304059,1.0
Cytochrome P-450 CYP1A2 Substrates,0.31322374818676335,1.0,0.5039717993304059,1.0
"Peptides, Cyclic",0.3165976688101268,1.0,0.5039717993304059,1.0
Sugar Acids,0.3165976688101268,1.0,0.5039717993304059,1.0
"Amino Acids, Branched-Chain",0.3165976688101268,1.0,0.5039717993304059,1.0
Organometallic Compounds,0.3165976688101268,1.0,0.5039717993304059,1.0
Sulfonic Acids,0.3165976688101268,1.0,0.5039717993304059,1.0
Intestinal Antiinfectives,0.3165976688101268,1.0,0.5039717993304059,1.0
Alkanes,0.3165976688101268,1.0,0.5039717993304059,1.0
Narcotics,0.3165976688101268,1.0,0.5039717993304059,1.0
"Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)",0.3165976688101268,1.0,0.5039717993304059,1.0
Neurotoxic agents,0.3273093883983318,1.0,0.5168042974710502,1.0
Micronutrients,0.3273093883983318,1.0,0.5168042974710502,1.0
Hydroxy Acids,0.3305056983845948,1.0,0.5176595275903293,1.0
Cardiovascular Agents,0.3305056983845948,1.0,0.5176595275903293,1.0
Osmotic Laxative,0.3586775345742739,1.0,0.5339093071907132,1.0
Sugar Alcohols,0.3586775345742739,1.0,0.5339093071907132,1.0
Sulfur Acids,0.3586775345742739,1.0,0.5339093071907132,1.0
Cytochrome P-450 CYP3A5 Inhibitors,0.3586775345742739,1.0,0.5339093071907132,1.0
Macromolecular Substances,0.3586775345742739,1.0,0.5339093071907132,1.0
Oligopeptides,0.3586775345742739,1.0,0.5339093071907132,1.0
Antiinfectives and Antiseptics for Local Oral Treatment,0.3586775345742739,1.0,0.5339093071907132,1.0
Cytochrome P-450 CYP2A6 Inhibitors,0.3586775345742739,1.0,0.5339093071907132,1.0
Miscellaneous Local Anti-infectives,0.3586775345742739,1.0,0.5339093071907132,1.0
Macrolides,0.3586775345742739,1.0,0.5339093071907132,1.0
Polymers,0.3586775345742739,1.0,0.5339093071907132,1.0
"Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",0.3586775345742739,1.0,0.5339093071907132,1.0
"Antiobesity Preparations, Excl. Diet Products",0.3586775345742739,1.0,0.5339093071907132,1.0
Central Nervous System Agents,0.3675652968448304,1.0,0.545058805207163,1.0
Growth Substances,0.3730617638379045,1.0,0.546970255251063,1.0
Phenols,0.3730617638379045,1.0,0.546970255251063,1.0
Myelosuppressive Agents,0.3730617638379045,1.0,0.546970255251063,1.0
Cardiotoxic antineoplastic agents,0.3981846619018698,1.0,0.5541180680156232,1.0
OATP1B1/SLCO1B1 Substrates,0.3981846619018698,1.0,0.5541180680156232,1.0
Cytochrome P-450 CYP3A4 Inhibitors (strong),0.3981846619018698,1.0,0.5541180680156232,1.0
Cytochrome P-450 CYP2C19 Inhibitors (strong),0.3981846619018698,1.0,0.5541180680156232,1.0
Cytochrome P-450 CYP3A Inhibitors (strong),0.3981846619018698,1.0,0.5541180680156232,1.0
Excitatory Amino Acids,0.3981846619018698,1.0,0.5541180680156232,1.0
Amino Sugars,0.3981846619018698,1.0,0.5541180680156232,1.0
Hexosamines,0.3981846619018698,1.0,0.5541180680156232,1.0
BSEP/ABCB11 Inhibitors,0.3981846619018698,1.0,0.5541180680156232,1.0
Hypolipidemic Agents,0.3981846619018698,1.0,0.5541180680156232,1.0
Xanthine derivatives,0.3981846619018698,1.0,0.5541180680156232,1.0
Hydroxylamines,0.3981846619018698,1.0,0.5541180680156232,1.0
Laxatives,0.3981846619018698,1.0,0.5541180680156232,1.0
Cytochrome P-450 CYP3A4 Inhibitors (moderate),0.3981846619018698,1.0,0.5541180680156232,1.0
Toxic Actions,0.3992491720830516,1.0,0.5541180680156232,1.0
Cytochrome P-450 CYP3A Inducers,0.4175366223611036,1.0,0.5713659042836156,1.0
Cytochrome P-450 CYP2C8 Substrates,0.4175366223611036,1.0,0.5713659042836156,1.0
Cytochrome P-450 CYP3A4 Inducers,0.4175366223611036,1.0,0.5713659042836156,1.0
Antiparasitic Agents,0.4175366223611036,1.0,0.5713659042836156,1.0
Dermatologicals,0.42604835734374036,1.0,0.5754486054851324,1.0
"Antibiotics, Antineoplastic",0.43527522722593354,1.0,0.5754486054851324,1.0
Antiarrhythmic agents,0.43527522722593354,1.0,0.5754486054851324,1.0
Anti-Ulcer Agents,0.43527522722593354,1.0,0.5754486054851324,1.0
Disaccharides,0.43527522722593354,1.0,0.5754486054851324,1.0
Blood Substitutes and Perfusion Solutions,0.43527522722593354,1.0,0.5754486054851324,1.0
"Hydrocarbons, Halogenated",0.43527522722593354,1.0,0.5754486054851324,1.0
Biomedical and Dental Materials,0.43527522722593354,1.0,0.5754486054851324,1.0
Stomatological Preparations,0.43527522722593354,1.0,0.5754486054851324,1.0
Thiazoles,0.43527522722593354,1.0,0.5754486054851324,1.0
Cytochrome P-450 CYP3A4 Substrates,0.44671865794331866,1.0,0.5885820155334266,1.0
Cytochrome P-450 CYP3A Substrates,0.45792186726125994,1.0,0.5991419536362927,1.0
Agents that produce neuromuscular block (indirect),0.4603897795430148,1.0,0.5991419536362927,1.0
Cytochrome P-450 CYP2C19 Inhibitors,0.4603897795430148,1.0,0.5991419536362927,1.0
Anti-Acne Preparations for Topical Use,0.47009599439155275,1.0,0.5991419536362927,1.0
Acetates,0.47009599439155275,1.0,0.5991419536362927,1.0
Anti-Acne Preparations,0.47009599439155275,1.0,0.5991419536362927,1.0
Otologicals,0.47009599439155275,1.0,0.5991419536362927,1.0
"Hydrocarbons, Acyclic",0.47009599439155275,1.0,0.5991419536362927,1.0
Polyketides,0.47009599439155275,1.0,0.5991419536362927,1.0
Benzopyrans,0.47009599439155275,1.0,0.5991419536362927,1.0
Biological Factors,0.4811282188015269,1.0,0.6108601319721475,1.0
Antineoplastic and Immunomodulating Agents,0.5013759129381256,1.0,0.6108601319721475,1.0
Protease Inhibitors,0.5027848778539983,1.0,0.6108601319721475,1.0
Cardiac Therapy,0.5027848778539983,1.0,0.6108601319721475,1.0
"Amino Acids, Acidic",0.5027848778539983,1.0,0.6108601319721475,1.0
Cytochrome P-450 CYP2B6 Inhibitors,0.5027848778539983,1.0,0.6108601319721475,1.0
Purinones,0.5027848778539983,1.0,0.6108601319721475,1.0
Dicarboxylic Acids,0.5027848778539983,1.0,0.6108601319721475,1.0
Drugs for Acid Related Disorders,0.5027848778539983,1.0,0.6108601319721475,1.0
Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord),0.5027848778539983,1.0,0.6108601319721475,1.0
Indicators and Reagents,0.5027848778539983,1.0,0.6108601319721475,1.0
"Antiparasitic Products, Insecticides and Repellents",0.5027848778539983,1.0,0.6108601319721475,1.0
"Amino Acids, Basic",0.5027848778539983,1.0,0.6108601319721475,1.0
Antifungal Agents,0.5027848778539983,1.0,0.6108601319721475,1.0
Lactones,0.5027848778539983,1.0,0.6108601319721475,1.0
Electrolytes,0.533471472399377,1.0,0.634310592182186,1.0
"Amino Acids, Dicarboxylic",0.533471472399377,1.0,0.634310592182186,1.0
Laboratory Chemicals,0.533471472399377,1.0,0.634310592182186,1.0
Ions,0.533471472399377,1.0,0.634310592182186,1.0
Cytochrome P-450 CYP2E1 Inhibitors,0.533471472399377,1.0,0.634310592182186,1.0
Anions,0.533471472399377,1.0,0.634310592182186,1.0
Antihypertensive Agents,0.533471472399377,1.0,0.634310592182186,1.0
Antineoplastic Agents,0.5445792813030943,1.0,0.6435936960854751,1.0
Benzene Derivatives,0.5445792813030943,1.0,0.6435936960854751,1.0
"Fatty Acids, Volatile",0.5590120026483846,1.0,0.6526435864484503,1.0
UGT1A9 Substrates,0.5622775514017418,1.0,0.6526435864484503,1.0
"Amino Acids, Diamino",0.5622775514017418,1.0,0.6526435864484503,1.0
Pyrans,0.5622775514017418,1.0,0.6526435864484503,1.0
Pteridines,0.5622775514017418,1.0,0.6526435864484503,1.0
Cytochrome P-450 CYP3A4 Inhibitors (weak),0.5622775514017418,1.0,0.6526435864484503,1.0
Pyrimidine Nucleosides,0.5893175354527302,1.0,0.6799817716762272,1.0
"Hormones, Hormone Substitutes, and Hormone Antagonists",0.5893175354527302,1.0,0.6799817716762272,1.0
Narrow Therapeutic Index Drugs,0.6117959288918896,1.0,0.7038360243888996,1.0
Autonomic Agents,0.6146989331242395,1.0,0.7050958350542748,1.0
Cytochrome P-450 Enzyme Inducers,0.628296838450988,1.0,0.7164788508651618,1.0
Immunosuppressive Agents,0.628296838450988,1.0,0.7164788508651618,1.0
Steroids,0.6608839059584852,1.0,0.7492579166389803,1.0
UGT1A1 Substrates,0.6608839059584852,1.0,0.7492579166389803,1.0
Supplements,0.6745501779534954,1.0,0.7625349837735166,1.0
Antiprotozoals,0.7015694446545456,1.0,0.7833566447471504,1.0
Gastrointestinal Agents,0.7015694446545456,1.0,0.7833566447471504,1.0
Moderate Risk QTc-Prolonging Agents,0.7015694446545456,1.0,0.7833566447471504,1.0
Dietary Supplements,0.7027374504743121,1.0,0.7833566447471504,1.0
Amines,0.7030123734910324,1.0,0.7833566447471504,1.0
Vitamin B Complex,0.7200562932155694,1.0,0.8000625480172994,1.0
Cytochrome P-450 Enzyme Inhibitors,0.7222707385227813,1.0,0.8002431477951271,1.0
Central Nervous System Depressants,0.7455732559377984,1.0,0.8237211609511087,1.0
Pyridines,0.753688070679513,1.0,0.8279953452535496,1.0
"Pigments, Biological",0.753688070679513,1.0,0.8279953452535496,1.0
Anti-Infective Agents,0.7702465562027825,1.0,0.8438094295479921,1.0
Beta-Lactam Antibacterials,0.7833061319427091,1.0,0.8533223225074206,1.0
Vitamins,0.7833061319427091,1.0,0.8533223225074206,1.0
Agents that produce hypertension,0.8055932892892852,1.0,0.8751570552167722,1.0
Cytochrome P-450 CYP2C9 Inhibitors,0.8212328433857223,1.0,0.8872044568433011,1.0
