## taxon_id,STRING_type,STRING_name_compact,official_name_NCBI,join_name
1968,periphery,Streptomyces cellulosae,Streptomyces cellulosae,Streptomyces cellulosae
1996,periphery,Microtetraspora glauca,Microtetraspora glauca,Microtetraspora glauca
2002,periphery,Streptosporangium amethystogenes,Streptosporangium amethystogenes,Streptosporangium amethystogenes
2045,core,Pimelobacter simplex,Pimelobacter simplex,Pimelobacter simplex
2055,core,Gordonia terrae,Gordonia terrae,Gordonia terrae
2074,periphery,Pseudonocardia autotrophica,Pseudonocardia autotrophica,Pseudonocardia autotrophica
2110,core,Mycoplasma agalactiae,Mycoplasma agalactiae,Mycoplasma agalactiae
2113,core,Mycoplasma californicum,Mycoplasma californicum,Mycoplasma californicum
2325,core,Thermoanaerobacter kivui,Thermoanaerobacter kivui,Thermoanaerobacter kivui
2340,core,Solemya velum,Solemya velum gill symbiont,Solemya velum
2342,periphery,Sodalis pierantonius,Candidatus Sodalis pierantonius str. SOPE,Sodalis pierantonius
2423,core,Fervidobacterium islandicum,Fervidobacterium islandicum,Fervidobacterium islandicum
2711,periphery,Citrus sinensis,Citrus sinensis,Citrus sinensis
2754,periphery,Synergistes jonesii,Synergistes jonesii,Synergistes jonesii
2850,core,Phaeodactylum tricornutum,Phaeodactylum tricornutum,Phaeodactylum tricornutum
2880,core,Ectocarpus siliculosus,Ectocarpus siliculosus,Ectocarpus siliculosus
2903,core,Emiliania huxleyi,Emiliania huxleyi,Emiliania huxleyi
3055,core,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii
3067,periphery,Volvox carteri,Volvox carteri,Volvox carteri
3075,periphery,Auxenochlorella protothecoides,Auxenochlorella protothecoides,Auxenochlorella protothecoides
3218,core,Physcomitrella patens,Physcomitrella patens,Physcomitrella patens
3641,core,Theobroma cacao,Theobroma cacao,Theobroma cacao
3649,periphery,Carica papaya,Carica papaya,Carica papaya
3656,core,Cucumis melo,Cucumis melo,Cucumis melo
3659,periphery,Cucumis sativus,Cucumis sativus,Cucumis sativus
3694,core,Populus trichocarpa,Populus trichocarpa,Populus trichocarpa
3702,core,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
3711,core,Brassica rapa,Brassica rapa,Brassica rapa
3712,periphery,Brassica oleracea,Brassica oleracea,Brassica oleracea
3750,core,Malus domestica,Malus domestica,Malus domestica
3760,periphery,Prunus persica,Prunus persica,Prunus persica
3827,periphery,Cicer arietinum,Cicer arietinum,Cicer arietinum
3847,core,Glycine max,Glycine max,Glycine max
3880,periphery,Medicago truncatula,Medicago truncatula,Medicago truncatula
3885,core,Phaseolus vulgaris,Phaseolus vulgaris,Phaseolus vulgaris
3983,core,Manihot esculenta,Manihot esculenta,Manihot esculenta
3988,periphery,Ricinus communis,Ricinus communis,Ricinus communis
4006,periphery,Linum usitatissimum,Linum usitatissimum,Linum usitatissimum
4081,core,Solanum lycopersicum,Solanum lycopersicum,Solanum lycopersicum
4096,periphery,Nicotiana sylvestris,Nicotiana sylvestris,Nicotiana sylvestris
4098,periphery,Nicotiana tomentosiformis,Nicotiana tomentosiformis,Nicotiana tomentosiformis
4113,core,Solanum tuberosum,Solanum tuberosum,Solanum tuberosum
4155,core,Erythranthe guttata,Erythranthe guttata,Erythranthe guttata
4432,core,Nelumbo nucifera,Nelumbo nucifera,Nelumbo nucifera
4513,core,Hordeum vulgare,Hordeum vulgare,Hordeum vulgare
4529,periphery,Oryza rufipogon,Oryza rufipogon,Oryza rufipogon
4530,core,Oryza sativa,Oryza sativa,Oryza sativa
4533,periphery,Oryza brachyantha,Oryza brachyantha,Oryza brachyantha
4536,periphery,Oryza nivara,Oryza nivara,Oryza nivara
4537,periphery,Oryza punctata,Oryza punctata,Oryza punctata
4538,periphery,Oryza glaberrima,Oryza glaberrima,Oryza glaberrima
4555,core,Setaria italica,Setaria italica,Setaria italica
4558,periphery,Sorghum bicolor,Sorghum bicolor,Sorghum bicolor
4565,periphery,Triticum aestivum,Triticum aestivum,Triticum aestivum
4572,periphery,Triticum urartu,Triticum urartu,Triticum urartu
4577,core,Zea mays,Zea mays,Zea mays
4641,core,Musa acuminata,Musa acuminata,Musa acuminata
4787,core,Phytophthora infestans,Phytophthora infestans,Phytophthora infestans
4792,periphery,Phytophthora parasitica,Phytophthora parasitica,Phytophthora parasitica
4896,core,Schizosaccharomyces pombe,Schizosaccharomyces pombe,Schizosaccharomyces pombe
4897,periphery,Schizosaccharomyces japonicus,Schizosaccharomyces japonicus,Schizosaccharomyces japonicus
4899,core,Schizosaccharomyces octosporus,Schizosaccharomyces octosporus,Schizosaccharomyces octosporus
4909,periphery,Pichia kudriavzevii,Pichia kudriavzevii,Pichia kudriavzevii
4920,periphery,Millerozyma farinosa,Millerozyma farinosa,Millerozyma farinosa
4922,core,Komagataella pastoris,Komagataella pastoris,Komagataella pastoris
4924,core,Scheffersomyces stipitis,Scheffersomyces stipitis,Scheffersomyces stipitis
4929,periphery,Meyerozyma guilliermondii,Meyerozyma guilliermondii,Meyerozyma guilliermondii
4932,core,Saccharomyces cerevisiae,Saccharomyces cerevisiae,Saccharomyces cerevisiae
4950,core,Torulaspora delbrueckii,Torulaspora delbrueckii,Torulaspora delbrueckii
4952,core,Yarrowia lipolytica,Yarrowia lipolytica,Yarrowia lipolytica
4956,core,Zygosaccharomyces rouxii,Zygosaccharomyces rouxii,Zygosaccharomyces rouxii
4959,periphery,Debaryomyces hansenii,Debaryomyces hansenii,Debaryomyces hansenii
5011,core,Taphrina deformans,Taphrina deformans,Taphrina deformans
5016,periphery,Bipolaris maydis,Bipolaris maydis,Bipolaris maydis
5017,periphery,Bipolaris zeicola,Bipolaris zeicola,Bipolaris zeicola
5022,core,Leptosphaeria maculans,Leptosphaeria maculans,Leptosphaeria maculans
5037,periphery,Histoplasma capsulatum,Histoplasma capsulatum,Histoplasma capsulatum
5039,periphery,Blastomyces dermatitidis,Blastomyces dermatitidis,Blastomyces dermatitidis
5057,periphery,Aspergillus clavatus,Aspergillus clavatus,Aspergillus clavatus
5059,periphery,Aspergillus flavus,Aspergillus flavus,Aspergillus flavus
5061,core,Aspergillus niger,Aspergillus niger,Aspergillus niger
5062,periphery,Aspergillus oryzae,Aspergillus oryzae,Aspergillus oryzae
5111,periphery,Claviceps purpurea,Claviceps purpurea,Claviceps purpurea
5127,periphery,Fusarium fujikuroi,Fusarium fujikuroi,Fusarium fujikuroi
5141,core,Neurospora crassa,Neurospora crassa,Neurospora crassa
5145,periphery,Podospora anserina,Podospora anserina,Podospora anserina
5147,periphery,Sordaria macrospora,Sordaria macrospora,Sordaria macrospora
5180,periphery,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum
5207,periphery,Cryptococcus neoformans,Cryptococcus neoformans,Cryptococcus neoformans
5217,core,Tremella mesenterica,Tremella mesenterica,Tremella mesenterica
5270,core,Ustilago maydis,Ustilago maydis,Ustilago maydis
5286,core,Rhodosporidium toruloides,Rhodosporidium toruloides,Rhodosporidium toruloides
5297,core,Puccinia graminis,Puccinia graminis,Puccinia graminis
5334,periphery,Schizophyllum commune,Schizophyllum commune,Schizophyllum commune
5341,core,Agaricus bisporus,Agaricus bisporus,Agaricus bisporus
5346,core,Coprinopsis cinerea,Coprinopsis cinerea,Coprinopsis cinerea
5465,periphery,Colletotrichum orbiculare,Colletotrichum orbiculare,Colletotrichum orbiculare
5476,core,Candida albicans,Candida albicans,Candida albicans
5478,core,Candida glabrata,Candida glabrata,Candida glabrata
5479,periphery,Candida maltosa,Candida maltosa,Candida maltosa
5480,periphery,Candida parapsilosis,Candida parapsilosis,Candida parapsilosis
5482,periphery,Candida tropicalis,Candida tropicalis,Candida tropicalis
5501,periphery,Coccidioides immitis,Coccidioides immitis,Coccidioides immitis
5507,periphery,Fusarium oxysporum,Fusarium oxysporum,Fusarium oxysporum
5518,core,Fusarium graminearum,Fusarium graminearum,Fusarium graminearum
5551,periphery,Trichophyton rubrum,Trichophyton rubrum,Trichophyton rubrum
5664,core,Leishmania major,Leishmania major,Leishmania major
5671,periphery,Leishmania infantum,Leishmania infantum,Leishmania infantum
5679,core,Leishmania panamensis,Leishmania panamensis,Leishmania panamensis
5691,periphery,Trypanosoma brucei,Trypanosoma brucei,Trypanosoma brucei
5693,core,Trypanosoma cruzi,Trypanosoma cruzi,Trypanosoma cruzi
5722,core,Trichomonas vaginalis,Trichomonas vaginalis,Trichomonas vaginalis
5741,core,Giardia intestinalis,Giardia intestinalis,Giardia intestinalis
5759,core,Entamoeba histolytica,Entamoeba histolytica,Entamoeba histolytica
5762,core,Naegleria gruberi,Naegleria gruberi,Naegleria gruberi
5786,periphery,Dictyostelium purpureum,Dictyostelium purpureum,Dictyostelium purpureum
5808,core,Cryptosporidium muris,Cryptosporidium muris,Cryptosporidium muris
5811,core,Toxoplasma gondii,Toxoplasma gondii,Toxoplasma gondii
5821,periphery,Plasmodium berghei,Plasmodium berghei,Plasmodium berghei
5825,core,Plasmodium chabaudi,Plasmodium chabaudi,Plasmodium chabaudi
5827,periphery,Plasmodium cynomolgi,Plasmodium cynomolgi,Plasmodium cynomolgi
5833,core,Plasmodium falciparum,Plasmodium falciparum,Plasmodium falciparum
5850,periphery,Plasmodium knowlesi,Plasmodium knowlesi,Plasmodium knowlesi
5855,periphery,Plasmodium vivax,Plasmodium vivax,Plasmodium vivax
5860,periphery,Plasmodium vinckei,Plasmodium vinckei,Plasmodium vinckei
5865,periphery,Babesia bovis,Babesia bovis,Babesia bovis
5872,core,Babesia equi,Babesia equi,Babesia equi
5874,periphery,Theileria annulata,Theileria annulata,Theileria annulata
5875,periphery,Theileria parva,Theileria parva,Theileria parva
5888,core,Paramecium tetraurelia,Paramecium tetraurelia,Paramecium tetraurelia
5911,periphery,Tetrahymena thermophila,Tetrahymena thermophila,Tetrahymena thermophila
5932,core,Ichthyophthirius multifiliis,Ichthyophthirius multifiliis,Ichthyophthirius multifiliis
5970,periphery,Exophiala dermatitidis,Exophiala dermatitidis,Exophiala dermatitidis
6087,core,Hydra vulgaris,Hydra vulgaris,Hydra vulgaris
6183,core,Schistosoma mansoni,Schistosoma mansoni,Schistosoma mansoni
6211,periphery,Echinococcus multilocularis,Echinococcus multilocularis,Echinococcus multilocularis
6238,periphery,Caenorhabditis briggsae,Caenorhabditis briggsae,Caenorhabditis briggsae
6239,core,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans
6326,core,Bursaphelenchus xylophilus,Bursaphelenchus xylophilus,Bursaphelenchus xylophilus
6334,core,Trichinella spiralis,Trichinella spiralis,Trichinella spiralis
6412,core,Helobdella robusta,Helobdella robusta,Helobdella robusta
6500,periphery,Aplysia californica,Aplysia californica,Aplysia californica
6669,core,Daphnia pulex,Daphnia pulex,Daphnia pulex
7029,periphery,Acyrthosiphon pisum,Acyrthosiphon pisum,Acyrthosiphon pisum
7070,core,Tribolium castaneum,Tribolium castaneum,Tribolium castaneum
7091,periphery,Bombyx mori,Bombyx mori,Bombyx mori
7159,periphery,Aedes aegypti,Aedes aegypti,Aedes aegypti
7165,core,Anopheles gambiae,Anopheles gambiae,Anopheles gambiae
7176,core,Culex quinquefasciatus,Culex quinquefasciatus,Culex quinquefasciatus
7209,core,Loa loa,Loa loa,Loa loa
7213,periphery,Ceratitis capitata,Ceratitis capitata,Ceratitis capitata
7217,periphery,Drosophila ananassae,Drosophila ananassae,Drosophila ananassae
7220,periphery,Drosophila erecta,Drosophila erecta,Drosophila erecta
7222,periphery,Drosophila grimshawi,Drosophila grimshawi,Drosophila grimshawi
7227,core,Drosophila melanogaster,Drosophila melanogaster,Drosophila melanogaster
7230,periphery,Drosophila mojavensis,Drosophila mojavensis,Drosophila mojavensis
7234,periphery,Drosophila persimilis,Drosophila persimilis,Drosophila persimilis
7237,periphery,Drosophila pseudoobscura,Drosophila pseudoobscura,Drosophila pseudoobscura
7244,periphery,Drosophila virilis,Drosophila virilis,Drosophila virilis
7245,periphery,Drosophila yakuba,Drosophila yakuba,Drosophila yakuba
7260,periphery,Drosophila willistoni,Drosophila willistoni,Drosophila willistoni
7370,core,Musca domestica,Musca domestica,Musca domestica
7425,core,Nasonia vitripennis,Nasonia vitripennis,Nasonia vitripennis
7460,core,Apis mellifera,Apis mellifera,Apis mellifera
7668,core,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus
7719,core,Ciona intestinalis,Ciona intestinalis,Ciona intestinalis
7739,core,Branchiostoma floridae,Branchiostoma floridae,Branchiostoma floridae
7897,core,Latimeria chalumnae,Latimeria chalumnae,Latimeria chalumnae
7918,core,Lepisosteus oculatus,Lepisosteus oculatus,Lepisosteus oculatus
7955,core,Danio rerio,Danio rerio,Danio rerio
7994,periphery,Astyanax mexicanus,Astyanax mexicanus,Astyanax mexicanus
8010,core,Esox lucius,Esox lucius,Esox lucius
8049,core,Gadus morhua,Gadus morhua,Gadus morhua
8081,periphery,Poecilia reticulata,Poecilia reticulata,Poecilia reticulata
8083,periphery,Xiphophorus maculatus,Xiphophorus maculatus,Xiphophorus maculatus
8090,core,Oryzias latipes,Oryzias latipes,Oryzias latipes
8128,core,Oreochromis niloticus,Oreochromis niloticus,Oreochromis niloticus
8153,periphery,Haplochromis burtoni,Haplochromis burtoni,Haplochromis burtoni
8364,core,Xenopus tropicalis,Xenopus (Silurana) tropicalis,Xenopus tropicalis
8469,periphery,Chelonia mydas,Chelonia mydas,Chelonia mydas
8479,core,Chrysemys picta,Chrysemys picta,Chrysemys picta
8496,periphery,Alligator mississippiensis,Alligator mississippiensis,Alligator mississippiensis
8932,periphery,Columba livia,Columba livia,Columba livia
9031,core,Gallus gallus,Gallus gallus,Gallus gallus
9258,core,Ornithorhynchus anatinus,Ornithorhynchus anatinus,Ornithorhynchus anatinus
9305,periphery,Sarcophilus harrisii,Sarcophilus harrisii,Sarcophilus harrisii
9315,periphery,Macropus eugenii,Macropus eugenii,Macropus eugenii
9361,periphery,Dasypus novemcinctus,Dasypus novemcinctus,Dasypus novemcinctus
9365,periphery,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus
9371,periphery,Echinops telfairi,Echinops telfairi,Echinops telfairi
9402,periphery,Pteropus alecto,Pteropus alecto,Pteropus alecto
9478,periphery,Tarsius syrichta,Tarsius syrichta,Tarsius syrichta
9483,periphery,Callithrix jacchus,Callithrix jacchus,Callithrix jacchus
9541,periphery,Macaca fascicularis,Macaca fascicularis,Macaca fascicularis
9544,periphery,Macaca mulatta,Macaca mulatta,Macaca mulatta
9555,periphery,Papio anubis,Papio anubis,Papio anubis
9593,periphery,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla
9597,periphery,Pan paniscus,Pan paniscus,Pan paniscus
9598,periphery,Pan troglodytes,Pan troglodytes,Pan troglodytes
9601,periphery,Pongo abelii,Pongo abelii,Pongo abelii
9606,core,Homo sapiens,Homo sapiens,Homo sapiens
9612,periphery,Canis lupus,Canis lupus,Canis lupus
9646,periphery,Ailuropoda melanoleuca,Ailuropoda melanoleuca,Ailuropoda melanoleuca
9668,periphery,Mustela putorius,Mustela putorius,Mustela putorius
9685,periphery,Felis catus,Felis catus,Felis catus
9694,periphery,Panthera tigris,Panthera tigris,Panthera tigris
9707,periphery,Odobenus rosmarus,Odobenus rosmarus,Odobenus rosmarus
9713,periphery,Leptonychotes weddellii,Leptonychotes weddellii,Leptonychotes weddellii
9733,periphery,Orcinus orca,Orcinus orca,Orcinus orca
9739,periphery,Tursiops truncatus,Tursiops truncatus,Tursiops truncatus
9767,periphery,Balaenoptera acutorostrata,Balaenoptera acutorostrata,Balaenoptera acutorostrata
9778,periphery,Trichechus manatus,Trichechus manatus,Trichechus manatus
9785,core,Loxodonta africana,Loxodonta africana,Loxodonta africana
9818,periphery,Orycteropus afer,Orycteropus afer,Orycteropus afer
9823,periphery,Sus scrofa,Sus scrofa,Sus scrofa
9913,core,Bos taurus,Bos taurus,Bos taurus
9940,core,Ovis aries,Ovis aries,Ovis aries
9978,periphery,Ochotona princeps,Ochotona princeps,Ochotona princeps
9986,core,Oryctolagus cuniculus,Oryctolagus cuniculus,Oryctolagus cuniculus
10029,periphery,Cricetulus griseus,Cricetulus griseus,Cricetulus griseus
10036,periphery,Mesocricetus auratus,Mesocricetus auratus,Mesocricetus auratus
10042,periphery,Peromyscus maniculatus,Peromyscus maniculatus,Peromyscus maniculatus
10090,core,Mus musculus,Mus musculus,Mus musculus
10116,core,Rattus norvegicus,Rattus norvegicus,Rattus norvegicus
10141,core,Cavia porcellus,Cavia porcellus,Cavia porcellus
10160,periphery,Octodon degus,Octodon degus,Octodon degus
10181,periphery,Heterocephalus glaber,Heterocephalus glaber,Heterocephalus glaber
10224,core,Saccoglossus kowalevskii,Saccoglossus kowalevskii,Saccoglossus kowalevskii
10228,core,Trichoplax adhaerens,Trichoplax adhaerens,Trichoplax adhaerens
12957,periphery,Atta cephalotes,Atta cephalotes,Atta cephalotes
13035,core,Dactylococcopsis salina,Dactylococcopsis salina PCC8305,Dactylococcopsis salina
13037,core,Danaus plexippus,Danaus plexippus,Danaus plexippus
13249,periphery,Rhodnius prolixus,Rhodnius prolixus,Rhodnius prolixus
13333,core,Amborella trichopoda,Amborella trichopoda,Amborella trichopoda
13349,periphery,Arthrobotrys oligospora,Arthrobotrys oligospora,Arthrobotrys oligospora
13616,periphery,Monodelphis domestica,Monodelphis domestica,Monodelphis domestica
13684,periphery,Parastagonospora nodorum,Parastagonospora nodorum,Parastagonospora nodorum
13689,core,Sphingomonas paucimobilis,Sphingomonas paucimobilis,Sphingomonas paucimobilis
13690,periphery,Sphingobium yanoikuyae,Sphingobium yanoikuyae,Sphingobium yanoikuyae
13735,core,Pelodiscus sinensis,Pelodiscus sinensis,Pelodiscus sinensis
15368,periphery,Brachypodium distachyon,Brachypodium distachyon,Brachypodium distachyon
27288,core,Naumovozyma castellii,Naumovozyma castellii,Naumovozyma castellii
27289,periphery,Naumovozyma dairenensis,Naumovozyma dairenensis,Naumovozyma dairenensis
27337,periphery,Verticillium dahliae,Verticillium dahliae,Verticillium dahliae
27679,periphery,Saimiri boliviensis,Saimiri boliviensis,Saimiri boliviensis
27923,core,Mnemiopsis leidyi,Mnemiopsis leidyi,Mnemiopsis leidyi
28042,core,Saccharopolyspora rectivirgula,Saccharopolyspora rectivirgula,Saccharopolyspora rectivirgula
28072,periphery,Nostoc sp. PCC7524,Nostoc sp. PCC7524,Nostoc sp.
28115,periphery,Porphyromonas macacae,Porphyromonas macacae,Porphyromonas macacae
28152,periphery,Yersinia kristensenii,Yersinia kristensenii,Yersinia kristensenii
28176,periphery,Photodesmus katoptron,Candidatus Photodesmus katoptron,Photodesmus katoptron
28229,core,Colwellia psychrerythraea,Colwellia psychrerythraea,Colwellia psychrerythraea
28258,core,Cobetia marina,Cobetia marina,Cobetia marina
28377,core,Anolis carolinensis,Anolis carolinensis,Anolis carolinensis
28444,periphery,Herbidospora cretacea,Herbidospora cretacea,Herbidospora cretacea
28532,periphery,Tarenaya hassleriana,Tarenaya hassleriana,Tarenaya hassleriana
28564,periphery,Talaromyces stipitatus,Talaromyces stipitatus,Talaromyces stipitatus
28583,core,Allomyces macrogynus,Allomyces macrogynus,Allomyces macrogynus
28737,periphery,Elephantulus edwardii,Elephantulus edwardii,Elephantulus edwardii
28985,core,Kluyveromyces lactis,Kluyveromyces lactis,Kluyveromyces lactis
29073,periphery,Ursus maritimus,Ursus maritimus,Ursus maritimus
29078,periphery,Eptesicus fuscus,Eptesicus fuscus,Eptesicus fuscus
29176,periphery,Neospora caninum,Neospora caninum,Neospora caninum
29306,periphery,Streptomyces griseoluteus,Streptomyces griseoluteus,Streptomyces griseoluteus
29486,periphery,Yersinia ruckeri,Yersinia ruckeri,Yersinia ruckeri
29495,periphery,Vibrio navarrensis,Vibrio navarrensis,Vibrio navarrensis
29540,periphery,Natrialba asiatica,Natrialba asiatica DSM12278,Natrialba asiatica
29581,periphery,Janthinobacterium lividum,Janthinobacterium lividum,Janthinobacterium lividum
29730,periphery,Gossypium raimondii,Gossypium raimondii,Gossypium raimondii
29760,core,Vitis vinifera,Vitis vinifera,Vitis vinifera
29850,periphery,Gaeumannomyces graminis,Gaeumannomyces graminis,Gaeumannomyces graminis
29875,core,Trichoderma virens,Trichoderma virens,Trichoderma virens
29908,periphery,Sporothrix schenckii,Sporothrix schenckii,Sporothrix schenckii
30611,periphery,Otolemur garnettii,Otolemur garnettii,Otolemur garnettii
31033,periphery,Takifugu rubripes,Takifugu rubripes,Takifugu rubripes
31234,periphery,Caenorhabditis remanei,Caenorhabditis remanei,Caenorhabditis remanei
31870,periphery,Colletotrichum graminicola,Colletotrichum graminicola,Colletotrichum graminicola
31954,periphery,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum subsp. pseudolongum,Bifidobacterium pseudolongum
31964,core,Clavibacter michiganensis sepedonicus,Clavibacter michiganensis subsp. sepedonicus,Clavibacter michiganensis
32024,periphery,Campylobacter sputorum,Campylobacter sputorum biovar sputorum,Campylobacter sputorum
32042,periphery,Pseudomonas stutzeri ATCC14405,Pseudomonas stutzeri ATCC14405,Pseudomonas stutzeri
32049,core,Synechococcus sp. PCC7002,Synechococcus sp. PCC7002,Synechococcus sp.
32051,periphery,Synechococcus sp. WH 7803,Synechococcus sp. WH 7803,Synechococcus sp.
32057,periphery,Calothrix sp. PCC7103,Calothrix sp. PCC7103,Calothrix sp.
32264,core,Tetranychus urticae,Tetranychus urticae,Tetranychus urticae
32507,periphery,Neolamprologus brichardi,Neolamprologus brichardi,Neolamprologus brichardi
33035,core,Blautia producta,Blautia producta,Blautia producta
33169,core,Eremothecium gossypii,Eremothecium gossypii,Eremothecium gossypii
33178,periphery,Aspergillus terreus,Aspergillus terreus,Aspergillus terreus
33188,periphery,Uncinocarpus reesii,Uncinocarpus reesii,Uncinocarpus reesii
33876,periphery,Catenuloplanes japonicus,Catenuloplanes japonicus,Catenuloplanes japonicus
33898,periphery,Streptomyces galbus,Streptomyces galbus,Streptomyces galbus
33905,periphery,Bifidobacterium thermophilum,Bifidobacterium thermophilum,Bifidobacterium thermophilum
34007,core,Paracoccus versutus,Paracoccus versutus,Paracoccus versutus
34349,core,Mixia osmundae,Mixia osmundae,Mixia osmundae
34373,periphery,Blumeria graminis,Blumeria graminis,Blumeria graminis
34506,core,Strongyloides ratti,Strongyloides ratti,Strongyloides ratti
34740,periphery,Heliconius melpomene,Heliconius melpomene,Heliconius melpomene
34839,periphery,Chinchilla lanigera,Chinchilla lanigera,Chinchilla lanigera
35128,core,Thalassiosira pseudonana,Thalassiosira pseudonana,Thalassiosira pseudonana
35703,core,Citrobacter amalonaticus,Citrobacter amalonaticus,Citrobacter amalonaticus
35720,periphery,Thielavia terrestris,Thielavia terrestris,Thielavia terrestris
35725,periphery,Macrophomina phaseolina,Macrophomina phaseolina,Macrophomina phaseolina
35754,periphery,Dactylosporangium aurantiacum,Dactylosporangium aurantiacum,Dactylosporangium aurantiacum
35760,periphery,Bifidobacterium choerinum,Bifidobacterium choerinum,Bifidobacterium choerinum
