Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
Acetate	Production (export)	Enterococcus faecalis (Streptococcus faecalis)	[185,363]
Acetate	Production (export)	Enterococcus faecium (Streptococcus faecium)	[185,363]
Acetate	Production (export)	Enterococcus gallinarum	[185,363]
Acetate	Production (export)	Enterococcus italicus	[185,363]
Acetate	Production (export)	Escherichia albertii	[316]
Acetate	Production (export)	Escherichia coli	[122,342,363,316]
Acetate	Production (export)	Escherichia fergusonii	[316]
Acetate	Consumption (import)	Eubacterium cellulosolvens	[149]
Acetate	Consumption (import)	Eubacterium eligens	[149]
Acetate	Consumption (import)	Eubacterium hallii	[18,85,94,184,149]
Acetate	Consumption (import) & production (export)	Eubacterium limosum	[85,147,285,Supplementary Data 2d,149]
Acetate	Consumption (import) & production (export)	Eubacterium rectale	[13,46,83,92,94,184,199,301,149]
Acetate	Consumption (import)	Eubacterium saburreum	[149]
Acetate	Consumption (import)	Eubacterium saphenum	[149]
Acetate	Consumption (import) & production (export)	Eubacterium siraeum	[49,128,149]
Acetate	Consumption (import)	Eubacterium ventriosum	[13,149]
Acetate	Consumption (import) & production (export)	Faecalibacterium prausnitzii	[13,46,82,84,94,128,184,184]
Acetate	Production (export)	Fibrobacter succinogenes (Bacteroides succinogenes)	[198,287]
Acetate	Production (export)	Finegoldia magna	[90]
Acetate	Consumption (import) & production (export)	Fusobacterium nucleatum	[182,306,306]
Acetate	Consumption (import)	Geobacter bemidjiensis	[302]
Acetate	Consumption (import)	Geobacter lovleyi	[302]
Acetate	Consumption (import) & production (export)	Geobacter metallireducens	[59,186,222,302]
Acetate	Consumption (import)	Geobacter sulfurreducens	[59,222,302,302]
Acetate	Consumption (import)	Geobacter uraniumreducens	[302]
Acetate	Consumption (import)	Haloarcula marismortui	[284]
Acetate	Consumption (import)	Haloferax volcanii	[284]
Acetate	Production (export)	Holdemania filiformis	[358,359]
Acetate	Consumption (import) & production (export)	Klebsiella pneumoniae	[4,133]
Acetate	Production (export)	Lactobacillus acidophilus	[185]
Acetate	Production (export)	Lactobacillus amylolyticus	[185]
Acetate	Production (export)	Lactobacillus amylovorus	[185]
Acetate	Production (export)	Lactobacillus antri	[185]
Acetate	Production (export)	Lactobacillus brevis	[234,185]
Acetate	Production (export)	Lactobacillus buchneri	[234,185]
Acetate	Production (export)	Lactobacillus casei	[185]
Acetate	Production (export)	Lactobacillus coleohominis	[185]
Acetate	Production (export)	Lactobacillus crispatus	[185]
Acetate	Production (export)	Lactobacillus delbrueckii	[185]
Acetate	Production (export)	Lactobacillus fermentum	[185]
Acetate	Production (export)	Lactobacillus gasseri	[185]
Acetate	Production (export)	Lactobacillus helveticus	[185]
Acetate	Production (export)	Lactobacillus hilgardii	[185]
Acetate	Production (export)	Lactobacillus iners	[185]
Acetate	Production (export)	Lactobacillus jensenii	[185]
Acetate	Production (export)	Lactobacillus johnsonii	[185]
Acetate	Production (export)	Lactobacillus oris	[185]
Acetate	Production (export)	Lactobacillus paracasei	[185]
Acetate	Production (export)	Lactobacillus plantarum	[63,179,234,185]
Acetate	Production (export)	Lactobacillus reuteri	[185]
Acetate	Production (export)	Lactobacillus rhamnosus	[185]
Acetate	Production (export)	Lactobacillus ruminis	[185]
Acetate	Production (export)	Lactobacillus sakei	[185]
Acetate	Production (export)	Lactobacillus salivarius	[185]
Acetate	Production (export)	Lactobacillus ultunensis	[185]
Acetate	Production (export)	Lactobacillus vaginalis	[185]
Acetate	Production (export)	Lactococcus lactis	[63]
Acetate	Production (export)	Marvinbryantia formatexigens	[92,256,364,Supplementary Data 2d]
Acetate	Production (export)	Megamonas hypermegale	[277]
Acetate	Production (export)	Megasphaera micronuciformis	[85,197]
Acetate	Consumption (import)	Methanobrevibacter ruminantium	[428]
Acetate	Consumption (import)	Methanobrevibacter smithii	[281,282,301]
Acetate	Consumption (import)	Methanococcus maripaludis	[157,322]
Acetate	Consumption (import)	Methanosaeta thermophila	[162,180]
Acetate	Consumption (import) & production (export)	Methanosarcina acetivorans	[20,20,81,162,28,180,318,319]
Acetate	Consumption (import)	Methanosarcina barkeri	[109,319,28,180,318,319]
Acetate	Consumption (import)	Methanosarcina mazei	[319,28,180,318,319]
Acetate	Consumption (import)	Methanosphaera stadtmanae	[180,180]
Acetate	Consumption (import)	Methanosphaerula palustris	[426]
Acetate	Consumption (import)	Methanospirillum hungatei	[426]
Acetate	Production (export)	Moorella thermoacetica	[81,256,275,Supplementary Data 2d]
Acetate	Production (export)	Mycoplasma agalactiae	[316]
Acetate	Production (export)	Mycoplasma alligatoris	[316]
Acetate	Production (export)	Mycoplasma arthritidis	[316]
Acetate	Production (export)	Mycoplasma bovis	[316]
Acetate	Production (export)	Mycoplasma capricolum	[316]
Acetate	Production (export)	Mycoplasma conjunctivae	[316]
Acetate	Production (export)	Mycoplasma crocodyli	[316]
Acetate	Production (export)	Mycoplasma fermentans	[316]
Acetate	Production (export)	Mycoplasma gallisepticum	[316]
Acetate	Production (export)	Mycoplasma genitalium	[316]
Acetate	Production (export)	Mycoplasma haemofelis	[316]
Acetate	Production (export)	Mycoplasma hominis	[316]
Acetate	Production (export)	Mycoplasma hyopneumoniae	[316]
Acetate	Production (export)	Mycoplasma hyorhinis	[316]
Acetate	Production (export)	Mycoplasma leachii	[316]
Acetate	Production (export)	Mycoplasma mobile	[316]
Acetate	Production (export)	Mycoplasma mycoides	[316]
Acetate	Production (export)	Mycoplasma penetrans	[316]
Acetate	Production (export)	Mycoplasma pneumoniae	[316]
Acetate	Production (export)	Mycoplasma pulmonis	[316]
Acetate	Production (export)	Mycoplasma synoviae	[316]
Acetate	Production (export)	Odoribacter splanchnicus	[107]
Acetate	Production (export)	Parabacteroides johnsonii	[276]
Acetate	Production (export)	Parabacteroides merdae	[276]
Acetate	Production (export)	Parvularcula bermudensis	[303]
Acetate	Production (export)	Pelobacter carbinolicus	[5,289,302,327]
Acetate	Production (export)	Pelobacter propionicus	[288,289,318]
Acetate	Production (export)	Pelotomaculum thermopropionicum	[135,162,219]
Acetate	Production (export)	Peptostreptococcus anaerobius	[316]
Acetate	Production (export)	Peptostreptococcus stomatis	[316]
Acetate	Production (export)	Prevotella amnii	[185]
Acetate	Production (export)	Prevotella bergensis	[185]
Acetate	Production (export)	Prevotella bivia	[185]
Acetate	Production (export)	Prevotella bryantii	[185]
Acetate	Production (export)	Prevotella buccae	[185]
Acetate	Production (export)	Prevotella buccalis	[185]
Acetate	Production (export)	Prevotella copri	[116,185]
Acetate	Production (export)	Prevotella disiens	[185]
Acetate	Production (export)	Prevotella marshii	[185]
Acetate	Production (export)	Prevotella melaninogenica (Bacteroides melaninogenicus)	[185]
Acetate	Production (export)	Prevotella multiformis	[185]
Acetate	Production (export)	Prevotella oralis	[185]
Acetate	Production (export)	Prevotella oris	[185]
Acetate	Production (export)	Prevotella ruminicola (Bacteroides ruminicola)	[323,369,185]
Acetate	Production (export)	Prevotella salivae	[185]
Acetate	Production (export)	Prevotella tannerae	[185]
Acetate	Production (export)	Prevotella timonensis	[185]
Acetate	Production (export)	Prevotella veroralis	[185]
Acetate	Production (export)	Propionibacterium acnes	[197,316]
Acetate	Production (export)	Propionibacterium freudenreichii (Propionibacterium shermanii)	[197,316]
Acetate	Production (export)	Pseudoflavonifractor capillosus	[40]
Acetate	Consumption (import)	Pseudomonas mendocina	[133]
Acetate	Production (export)	Pyramidobacter piscolens	[79]
Acetate	Production (export)	Pyrococcus furiosus	[303]
Acetate	Consumption (import)	Roseburia intestinalis	[46,82,83,91,92,94,184,94]
Acetate	Consumption (import)	Roseburia inulinivorans	[94,184,94]
Acetate	Production (export)	Ruminococcus albus	[318]
Acetate	Production (export)	Ruminococcus bromii	[185,350]
Acetate	Production (export)	Ruminococcus flavefaciens	[168,185,287]
Acetate	Production (export)	Ruminococcus gnavus	[326]
Acetate	Production (export)	Ruminococcus obeum	[181,326]
Acetate	Production (export)	Ruminococcus torques	[124,326]
Acetate	Production (export)	Selenomonas artemidis	[85,197]
Acetate	Production (export)	Selenomonas flueggei	[85,197]
Acetate	Production (export)	Selenomonas noxia	[85,197]
Acetate	Production (export)	Selenomonas sputigena	[85,197]
Acetate	Production (export)	Shewanella putrefaciens (Pseudomonas putrefaciens)	[186]
Acetate	Production (export)	Streptococcus agalactiae	[316]
Acetate	Production (export)	Streptococcus anginosus	[316]
Acetate	Production (export)	Streptococcus australis	[316]
Acetate	Production (export)	Streptococcus bovis (Streptococcus equinus)	[316]
Acetate	Production (export)	Streptococcus cristatus	[316]
Acetate	Production (export)	Streptococcus downei	[316]
Acetate	Production (export)	Streptococcus dysgalactiae	[316]
Acetate	Production (export)	Streptococcus equi	[316]
Acetate	Production (export)	Streptococcus gallolyticus	[316]
Acetate	Production (export)	Streptococcus gordonii	[316]
Acetate	Production (export)	Streptococcus infantarius	[316]
Acetate	Production (export)	Streptococcus infantis	[316]
Acetate	Production (export)	Streptococcus mitis	[316]
Acetate	Production (export)	Streptococcus mutans	[316]
Acetate	Production (export)	Streptococcus oralis	[316]
Acetate	Production (export)	Streptococcus parasanguinis	[316]
Acetate	Production (export)	Streptococcus peroris	[316]
Acetate	Production (export)	Streptococcus pneumoniae	[316]
Acetate	Production (export)	Streptococcus pseudoporcinus	[316]
Acetate	Production (export)	Streptococcus pyogenes	[316]
Acetate	Production (export)	Streptococcus salivarius	[316]
Acetate	Production (export)	Streptococcus sanguinis	[316]
Acetate	Production (export)	Streptococcus suis	[316]
Acetate	Production (export)	Streptococcus thermophilus	[316]
Acetate	Production (export)	Streptococcus uberis	[316]
Acetate	Production (export)	Streptococcus vestibularis	[316]
Acetate	Production (export)	Subdoligranulum variabile	[128]
Acetate	Production (export)	Syntrophobacter fumaroxidans	[31,135,162,219,302]
Acetate	Production (export)	Syntrophobotulus glycolicus	[302]
Acetate	Production (export)	Syntrophomonas wolfei	[31,137,162,219,302,318,321,367]
Acetate	Production (export)	Syntrophothermus lipocalidus	[302]
Acetate	Production (export)	Syntrophus aciditrophicus	[137,162,302]
Acetate	Production (export)	Thermotoga maritima	[219]
Acetate	Production (export)	Veillonella atypica	[85]
Acetate	Production (export)	Veillonella dispar	[85]
Acetate	Production (export)	Veillonella parvula	[187,229,85]
Acetate	Consumption (import)	Wolinella succinogenes	[302]
Acetate	Consumption (import)	Xanthomonas campestris	[331]
Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)	Production (export)	Lactobacillus plantarum	[179]
Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)	Consumption (import)	Pelobacter carbinolicus	[5,289,302]
Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)	Consumption (import)	Pelobacter propionicus	[289]
Acetone	Production (export)	Bacillus subtilis	[122]
Acetone	Production (export)	Clostridium acetobutylicum	[278,316]
Acetone	Production (export)	Clostridium asparagiforme	[316]
Acetone	Production (export)	Clostridium bartlettii	[316]
Acetone	Production (export)	Clostridium beijerinckii	[48,216,316]
Acetone	Production (export)	Clostridium bolteae	[316]
Acetone	Production (export)	Clostridium botulinum	[316]
Acetone	Production (export)	Clostridium butyricum	[316]
Acetone	Production (export)	Clostridium carboxidivorans	[316]
Acetone	Production (export)	Clostridium cellulolyticum	[316]
Acetone	Production (export)	Clostridium cellulovorans	[316]
Acetone	Production (export)	Clostridium cf	[316]
Acetone	Production (export)	Clostridium difficile	[316]
Acetone	Production (export)	Clostridium hathewayi	[316]
Acetone	Production (export)	Clostridium hiranonis	[316]
Acetone	Production (export)	Clostridium hylemonae	[316]
Acetone	Production (export)	Clostridium kluyveri	[316]
Acetone	Production (export)	Clostridium leptum	[316]
Acetone	Production (export)	Clostridium ljungdahlii	[316]
Acetone	Production (export)	Clostridium methylpentosum	[316]
Acetone	Production (export)	Clostridium nexile	[316]
Acetone	Production (export)	Clostridium novyi	[316]
Acetone	Production (export)	Clostridium papyrosolvens	[316]
Acetone	Production (export)	Clostridium perfringens	[316]
Acetone	Production (export)	Clostridium phytofermentans	[316]
Acetone	Production (export)	Clostridium saccharolyticum	[316]
Acetone	Production (export)	Clostridium scindens	[316]
Acetone	Production (export)	Clostridium sporogenes	[316]
Acetone	Production (export)	Clostridium sticklandii	[316]
Acetone	Production (export)	Clostridium symbiosum	[316]
