DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36b14a6a48>,N-[(CYCLOHEXYLAMINO)CARBONYL]GLYCINE,,experimental,NVORCMBCUHQRDL-UHFFFAOYSA-N,"InChI=1S/C9H16N2O3/c12-8(13)6-10-9(14)11-7-4-2-1-3-5-7/h7H,1-6H2,(H,12,13)(H2,10,11,14)",OC(=O)CNC(=O)NC1CCCCC1,C9H16N2O3,,,4149241,99444727,,CHEMBL66380,NC3,3361505,50143914
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36ee13f5e8>,6-hydroxydopa quinone,,experimental,AGMJSPIGDFKRRO-YFKPBYRVSA-N,"InChI=1S/C9H9NO5/c10-5(9(14)15)1-4-2-7(12)8(13)3-6(4)11/h2-3,5,13H,1,10H2,(H,14,15)/t5-/m0/s1",N[C@@H](CC1=CC(=O)C(O)=CC1=O)C(O)=O,C9H9NO5,,,123871,46505126,36076,,TPQ,16744234,
,,,,,,,,,,54840,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f367e4f5bd8>,Sodium carbonate,497-19-8,approved,CDBYLPFSWZWCQE-UHFFFAOYSA-L,"InChI=1S/CH2O3.2Na/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2",[Na+].[Na+].[O-]C([O-])=O,CNa2O3,,,10340,347827855,29377,CHEMBL186314,,9916,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f3737fc1f48>,Podofilox,518-28-5,approved,YJGVMLPVUAXIQN-XVVDYKMHSA-N,"InChI=1S/C22H22O8/c1-25-16-4-10(5-17(26-2)21(16)27-3)18-11-6-14-15(30-9-29-14)7-12(11)20(23)13-8-28-22(24)19(13)18/h4-7,13,18-20,23H,8-9H2,1-3H3/t13-,18+,19-,20-/m0/s1",[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(OC)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@H]2O,C22H22O8,C10874,,10607,46505716,50305,CHEMBL61,POD,10162,50035218
,,,,,,,,,,96312,,,,,,
,,,,,,,,,,72430,,,,,,
,,,,,,,,,,92114,,,,,,
,,,,,,,,,,71748056,,,,,,
,,,,,,,,,,12446,,,,,,
,,,,,,,,,,10220841,,,,,,
,,,,,,,,,,107722,,,,,,
,,,,,,,,,,19001,,,,,,
,,,,,,,,,,119218,,,,,,
,,,,,,,,,,3077,,,,,,
,,,,,,,,,,9886808,,,,,,
,,,,,,,,,,163742,,,,,,
,,,,,,,,,,2856906,,,,,,
,,,,,,,,,,115158,,,,,,
,,,,,,,,,,80348,,,,,,
,,,,,,,,,,4312,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f370a3abf98>,"N-(4-Methoxybenzyl)-N'-(5-Nitro-1,3-Thiazol-2-Yl)Urea",,experimental,YAEMHJKFIIIULI-UHFFFAOYSA-N,"InChI=1S/C12H12N4O4S/c1-20-9-4-2-8(3-5-9)6-13-11(17)15-12-14-7-10(21-12)16(18)19/h2-5,7H,6H2,1H3,(H2,13,14,15,17)",COC1=CC=C(CNC(=O)NC2=NC=C(S2)[N+]([O-])=O)C=C1,C12H12N4O4S,,,448014,46507570,,CHEMBL259850,TMU,394949,50229962
,,,,,,,,,,73364,,,,,,
,,,,,,,,,,67821,,,,,,
,,,,,,,,,,135052,,,,,,
,,,,,,,,,,3238,,,,,,
,,,,,,,,,,3655,,,,,,
,,,,,,,,,,10547,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f37077a4f98>,Equilin,474-86-2,experimental,WKRLQDKEXYKHJB-HFTRVMKXSA-N,"InChI=1S/C18H20O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3-5,10,14,16,19H,2,6-9H2,1H3/t14-,16+,18+/m1/s1",[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC=C21)C=C(O)C=C3,C18H20O2,C14392,D04041,223368,46506633,42309,CHEMBL323533,EQI,193995,50423544
,,,,,,,,,,3158,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f3792932f48>,Dyphylline,479-18-5,approved,KSCFJBIXMNOVSH-UHFFFAOYSA-N,"InChI=1S/C10H14N4O4/c1-12-8-7(9(17)13(2)10(12)18)14(5-11-8)3-6(16)4-15/h5-6,15-16H,3-4H2,1-2H3",CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,C10H14N4O4,C07819,D00691,3182,46504443,4728,CHEMBL1752,,3070,82016
,,,,,,,,,,14915,,,,,,
,,,,,,,,,,5311102,,,,,,
,,,,,,,,,,3277,,,,,,
,,,,,,,,,,11606262,,,,,,
,,,,,,,,,,6400916,,,,,,
,,,,,,,,,,265237,,,,,,
,,,,,,,,,,56603775,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36a4344778>,Canagliflozin,842133-18-0,approved,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,"InChI=1S/C24H25FO5S/c1-13-2-3-15(24-23(29)22(28)21(27)19(12-26)30-24)10-16(13)11-18-8-9-20(31-18)14-4-6-17(25)7-5-14/h2-10,19,21-24,26-29H,11-12H2,1H3/t19-,21-,22+,23-,24+/m1/s1",[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,C24H25FO5S,,D09592,24812758,175427146,73274,CHEMBL2048484,,26333259,50386885
,,,,,,,,,,65872,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f370257e228>,AL7182,,experimental,ICIXQGGQPKFQRL-UHFFFAOYSA-N,"InChI=1S/C13H14N2O5S3/c1-20-11-4-2-3-10(8-11)15-6-5-9-7-12(22(14,16)17)21-13(9)23(15,18)19/h2-4,7-8H,5-6H2,1H3,(H2,14,16,17)",COC1=CC(=CC=C1)N1CCC2=C(SC(=C2)S(N)(=O)=O)S1(=O)=O,C13H14N2O5S3,,,1604,46507527,,CHEMBL331858,AL1,1546,11935
,,,,,,,,,,151144,,,,,,
,,,,,,,,,,9873345,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f37826bf0e8>,Tranylcypromine,155-09-9,approved; investigational,AELCINSCMGFISI-UHFFFAOYSA-N,"InChI=1S/C9H11N/c10-9-6-8(9)7-4-2-1-3-5-7/h1-5,8-9H,6,10H2",NC1CC1C1=CC=CC=C1,C9H11N,C07155,D08625,5530,46505832,131512,CHEMBL313833,GJZ,5329,50113851
,,,,,,,,,,12813,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f378cf03318>,Trovafloxacin,147059-72-1,approved; investigational; withdrawn,WVPSKSLAZQPAKQ-CDMJZVDBSA-N,"InChI=1S/C20H15F3N4O3/c21-8-1-2-15(13(22)3-8)27-7-12(20(29)30)17(28)9-4-14(23)19(25-18(9)27)26-5-10-11(6-26)16(10)24/h1-4,7,10-11,16H,5-6,24H2,(H,29,30)/t10-,11+,16+",[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=C(F)C=C(F)C=C1)C(O)=O,C20H15F3N4O3,C07664,,62959,46508751,9763,CHEMBL428,TR6,16736478,50146361
,,,,,,,,,,90788298,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36c8dda638>,Dalfampridine,504-24-5,approved,NUKYPUAOHBNCPY-UHFFFAOYSA-N,"InChI=1S/C5H6N2/c6-5-1-3-7-4-2-5/h1-4H,(H2,6,7)",NC1=CC=NC=C1,C5H6N2,C13728,D04127,1727,175427081,34385,CHEMBL284348,,1664,10458
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36bb4b9ef8>,5-phenyl-1H-indazol-3-amine,,experimental,ZCUSNQPYUNLATP-UHFFFAOYSA-N,"InChI=1S/C13H11N3/c14-13-11-8-10(6-7-12(11)15-16-13)9-4-2-1-3-5-9/h1-8H,(H3,14,15,16)",NC1=NNC2=CC=C(C=C12)C1=CC=CC=C1,C13H11N3,,,11492186,99443632,,CHEMBL500779,5B2,9666992,50254831
,,,,,,,,,,138,,,,,,
,,,,,,,,,,71268957,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36bf05e958>,Pralatrexate,146464-95-1,approved; investigational,OGSBUKJUDHAQEA-WMCAAGNKSA-N,"InChI=1S/C23H23N7O5/c1-2-3-14(10-15-11-26-20-18(27-15)19(24)29-23(25)30-20)12-4-6-13(7-5-12)21(33)28-16(22(34)35)8-9-17(31)32/h1,4-7,11,14,16H,3,8-10H2,(H,28,33)(H,31,32)(H,34,35)(H4,24,25,26,29,30)/t14?,16-/m0/s1",NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,C23H23N7O5,,D05589,148121,175427094,71223,CHEMBL1201746,,130578,
,,,,,,,,,,285,,,,,,
,,,,,,,,,,551091,,,,,,
,,,,,,,,,,6323183,,,,,,
,,,,,,,,,,148177,,,,,,
,,,,,,,,,,160963,,,,,,
,,,,,,,,,,5282309,,,,,,
,,,,,,,,,,3032451,,,,,,
,,,,,,,,,,9815538,,,,,,
,,,,,,,,,,3491292,,,,,,
,,,,,,,,,,3449,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f370a3abf98>,"N-(4-Methoxybenzyl)-N'-(5-Nitro-1,3-Thiazol-2-Yl)Urea",,experimental,YAEMHJKFIIIULI-UHFFFAOYSA-N,"InChI=1S/C12H12N4O4S/c1-20-9-4-2-8(3-5-9)6-13-11(17)15-12-14-7-10(21-12)16(18)19/h2-5,7H,6H2,1H3,(H2,13,14,15,17)",COC1=CC=C(CNC(=O)NC2=NC=C(S2)[N+]([O-])=O)C=C1,C12H12N4O4S,,,448014,46507570,,CHEMBL259850,TMU,394949,50229962
,,,,,,,,,,43103,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f373d697598>,Diclofenamide,120-97-8,approved; investigational,GJQPMPFPNINLKP-UHFFFAOYSA-N,"InChI=1S/C6H6Cl2N2O4S2/c7-4-1-3(15(9,11)12)2-5(6(4)8)16(10,13)14/h1-2H,(H2,9,11,12)(H2,10,13,14)",NS(=O)(=O)C1=CC(=C(Cl)C(Cl)=C1)S(N)(=O)=O,C6H6Cl2N2O4S2,C07459,D00518,3038,46505039,101085,CHEMBL17,I7A,2930,10883
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36b242e6d8>,indane-5-sulfonamide,,experimental,XVQJTFMKKZBBSX-UHFFFAOYSA-N,"InChI=1S/C9H11NO2S/c10-13(11,12)9-5-4-7-2-1-3-8(7)6-9/h4-6H,1-3H2,(H2,10,11,12)",NS(=O)(=O)C1=CC=C2CCCC2=C1,C9H11NO2S,,,96876,99444636,,CHEMBL364869,MAJ,87470,50155556
,,,,,,,,,,16124,,,,,,
,,,,,,,,,,13006,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f37af594958>,Amikacin,37517-28-5,approved; investigational; vet_approved,LKCWBDHBTVXHDL-RMDFUYIESA-N,"InChI=1S/C22H43N5O13/c23-2-1-8(29)20(36)27-7-3-6(25)18(39-22-16(34)15(33)13(31)9(4-24)37-22)17(35)19(7)40-21-14(32)11(26)12(30)10(5-28)38-21/h6-19,21-22,28-35H,1-5,23-26H2,(H,27,36)/t6-,7+,8-,9+,10+,11-,12+,13+,14+,15-,16+,17-,18+,19-,21+,22+/m0/s1",NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,C22H43N5O13,C06820,D02543,37768,46506386,2637,CHEMBL177,AKN,34635,
,,,,,,,,,,159797,,,,,,
,,,,,,,,,,3086506,,,,,,
,,,,,,,,,,99472,,,,,,
,,,,,,,,,,4385,,,,,,
,,,,,,,,,,11640390,,,,,,
,,,,,,,,,,443678,,,,,,
,,,,,,,,,,4051,,,,,,
,,,,,,,,,,863,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f369bcb8f48>,Ibrutinib,936563-96-1,approved,XYFPWWZEPKGCCK-GOSISDBHSA-N,"InChI=1S/C25H24N6O2/c1-2-21(32)30-14-6-7-18(15-30)31-25-22(24(26)27-16-28-25)23(29-31)17-10-12-20(13-11-17)33-19-8-4-3-5-9-19/h2-5,8-13,16,18H,1,6-7,14-15H2,(H2,26,27,28)/t18-/m1/s1",NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,C25H24N6O2,,D10223,24821094,310264995,76612,CHEMBL1873475,1E8,26637187,50357312
,,,,,,,,,,309,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f376115cbd8>,Salmeterol,89365-50-4,approved,GIIZNNXWQWCKIB-UHFFFAOYSA-N,"InChI=1S/C25H37NO4/c27-20-23-18-22(13-14-24(23)28)25(29)19-26-15-7-1-2-8-16-30-17-9-6-12-21-10-4-3-5-11-21/h3-5,10-11,13-14,18,25-29H,1-2,6-9,12,15-17,19-20H2",OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1,C25H37NO4,C07241,D05792,5152,46508024,64064,CHEMBL1263,,4968,25771
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36997b3b38>,Lenvatinib,417716-92-8,approved; investigational,WOSKHXYHFSIKNG-UHFFFAOYSA-N,"InChI=1S/C21H19ClN4O4/c1-29-19-10-17-13(9-14(19)20(23)27)18(6-7-24-17)30-12-4-5-16(15(22)8-12)26-21(28)25-11-2-3-11/h4-11H,2-3H2,1H3,(H2,23,27)(H2,25,26,28)",COC1=C(C=C2C(OC3=CC(Cl)=C(NC(O)=NC4CC4)C=C3)=CC=NC2=C1)C(O)=N,C21H19ClN4O4,,D09920,9823820,310265006,85994,CHEMBL1289601,LEV,7999567,50331094
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36bd48a5e8>,(4-fluorophenyl)(pyridin-4-yl)methanone,,experimental,WTRWBYGUMQEFFI-UHFFFAOYSA-N,InChI=1S/C12H8FNO/c13-11-3-1-9(2-4-11)12(15)10-5-7-14-8-6-10/h1-8H,FC1=CC=C(C=C1)C(=O)C1=CC=NC=C1,C12H8FNO,,,7023019,99443388,,CHEMBL563196,22F,5385890,50294173
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36f67d2368>,3-Deoxyguanosine,,experimental,OROIAVZITJBGSM-OBXARNEKSA-N,"InChI=1S/C10H13N5O4/c11-10-13-7-6(8(18)14-10)12-3-15(7)9-5(17)1-4(2-16)19-9/h3-5,9,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,9+/m0/s1",[H][C@@]1(CO)C[C@@]([H])(O)[C@@]([H])(O1)N1C=NC2=C1NC(=N)N=C2O,C10H13N5O4,,,165138,46508922,,CHEMBL73502,3DG,144776,50144937
,,,,,,,,,,3976,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36fcd5b278>,Selenazole-4-Carboxyamide-Adenine Dinucleotide,,experimental,SKNBJMQZTZPCPF-QZTLEVGFSA-N,"InChI=1S/C19H25N7O14P2Se/c20-15-9-17(23-4-22-15)26(5-24-9)19-13(30)11(28)8(39-19)2-37-42(34,35)40-41(32,33)36-1-7-10(27)12(29)14(38-7)18-25-6(3-43-18)16(21)31/h3-5,7-8,10-14,19,27-30H,1-2H2,(H2,21,31)(H,32,33)(H,34,35)(H2,20,22,23)/t7-,8-,10-,11-,12-,13-,14-,19-/m1/s1",[H][C@]1(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(C3=NC(=C[Se]3)C(O)=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,C19H25N7O14P2Se,,,444451,46508188,,CHEMBL451855,SAE,392381,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f37444cadb8>,Quinacrine,83-89-6,investigational,GPKJTRJOBQGKQK-UHFFFAOYSA-N,"InChI=1S/C23H30ClN3O/c1-5-27(6-2)13-7-8-16(3)25-23-19-11-9-17(24)14-22(19)26-21-12-10-18(28-4)15-20(21)23/h9-12,14-16H,5-8,13H2,1-4H3,(H,25,26)",CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=C1C=CC(Cl)=C2,C23H30ClN3O,C07339,D08179,237,46507828,8711,CHEMBL7568,,232,50015214
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f3641df8f48>,Nadifloxacin,124858-35-1,investigational,JYJTVFIEFKZWCJ-UHFFFAOYSA-N,"InChI=1S/C19H21FN2O4/c1-10-2-3-12-16-13(18(24)14(19(25)26)9-22(10)16)8-15(20)17(12)21-6-4-11(23)5-7-21/h8-11,23H,2-7H2,1H3,(H,25,26)",CC1CCC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCC(O)CC1,C19H21FN2O4,,,4410,347828688,31889,CHEMBL363449,,4257,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36f45774f8>,Trifluoromethionine,,experimental,YLJLTSVBCXYTQK-VKHMYHEASA-N,"InChI=1S/C5H8F3NO2S/c6-5(7,8)12-2-1-3(9)4(10)11/h3H,1-2,9H2,(H,10,11)/t3-/m0/s1",N[C@@H](CCSC(F)(F)F)C(O)=O,C5H8F3NO2S,,,165196,46507751,43978,,MF3,144820,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f370a892688>,Duroquinone,527-17-3,experimental,WAMKWBHYPYBEJY-UHFFFAOYSA-N,InChI=1S/C10H12O2/c1-5-6(2)10(12)8(4)7(3)9(5)11/h1-4H3,CC1=C(C)C(=O)C(C)=C(C)C1=O,C10H12O2,,,68238,46507523,42023,CHEMBL151604,DQN,61539,
,,,,,,,,,,107707,,,,,,
,,,,,,,,,,5484402,,,,,,
,,,,,,,,,,5311345,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f379aca1188>,Thiopental,76-75-5,approved; vet_approved,IUJDSEJGGMCXSG-UHFFFAOYSA-N,"InChI=1S/C11H18N2O2S/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,C11H18N2O2S,C07521,,3000715,46504621,102166,CHEMBL441,,2272258,50058058
,,,,,,,,,,101109,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f373cd5c318>,Cefprozil,92665-29-7,approved,WDLWHQDACQUCJR-ZAMMOSSLSA-N,"InChI=1S/C18H19N3O5S/c1-2-3-10-8-27-17-13(16(24)21(17)14(10)18(25)26)20-15(23)12(19)9-4-6-11(22)7-5-9/h2-7,12-13,17,22H,8,19H2,1H3,(H,20,23)(H,25,26)/b3-2+/t12-,13-,17-/m1/s1",[H][C@]12SCC(C=CC)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,C18H19N3O5S,C06888,,5281006,46504903,3506,CHEMBL276568,,4444481,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f3704e7cc78>,"D-gluconhydroximo-1,5-lactam",,experimental,VBXHGXTYZGYTQG-SQOUGZDYSA-N,"InChI=1S/C6H12N2O5/c9-1-2-3(10)4(11)5(12)6(7-2)8-13/h2-5,9-13H,1H2,(H,7,8)/t2-,3-,4+,5-/m1/s1",[H][C@]1(O)C(NO)=N[C@]([H])(CO)[C@@]([H])(O)[C@]1([H])O,C6H12N2O5,,,445248,46507942,,CHEMBL1213470,GOX,392941,36390
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f369a0d9b38>,Palbociclib,571190-30-2,approved; investigational,AHJRHEGDXFFMBM-UHFFFAOYSA-N,"InChI=1S/C24H29N7O2/c1-15-19-14-27-24(28-20-8-7-18(13-26-20)30-11-9-25-10-12-30)29-22(19)31(17-5-3-4-6-17)23(33)21(15)16(2)32/h7-8,13-14,17,25H,3-6,9-12H2,1-2H3,(H,26,27,28,29)",CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,C24H29N7O2,,D10372,5330286,310265004,85993,CHEMBL189963,LQQ,4487437,6309
,,,,,,,,,,447791,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f37eb1c38b8>,Adenine,73-24-5,approved; nutraceutical,GFFGJBXGBJISGV-UHFFFAOYSA-N,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",NC1=C2NC=NC2=NC=N1,C5H5N5,C00147,D00034,190,46507319,16708,CHEMBL226345,ADE,185,181146
,,,,,,,,,,9956119,,,,,,
,,,,,,,,,,41744,,,,,,
<Element '{http://www.drugbank.ca}drugbank-id' at 0x7f36e6d76598>,Nomifensine,24526-64-5,withdrawn,XXPANQJNYNUNES-UHFFFAOYSA-N,"InChI=1S/C16H18N2/c1-18-10-14(12-6-3-2-4-7-12)13-8-5-9-16(17)15(13)11-18/h2-9,14H,10-11,17H2,1H3",CN1CC(C2=CC=CC=C2)C2=C(C1)C(N)=CC=C2,C16H18N2,,,4528,46505804,116225,CHEMBL273575,,4371,50005548
