Categories,pval,Bonferroni,B&H_FDR_adjusted_pval,B&Y_FDR_adjusted_pval
Pancreatic Hormones,0.073603603,0.073603603,0.073603603,0.073603603
Thiazolidinediones,0.073603603,0.073603603,0.073603603,0.073603603
Detergents,0.073603603,0.073603603,0.073603603,0.073603603
Anti-Inflammatory Agents,0.083019654,0.083019654,0.083019654,0.083019654
"Aldehyde Reductase, antagonists & inhibitors",0.091739473,0.091739473,0.091739473,0.091739473
Pterins,0.091739473,0.091739473,0.091739473,0.091739473
Oligopeptides,0.091739473,0.091739473,0.091739473,0.091739473
Vasodilating Agents,0.105227194,0.105227194,0.105227194,0.105227194
Sensory System Agents,0.113899046,0.113899046,0.113899046,0.113899046
Hydroxybenzoates,0.127192131,0.127192131,0.127192131,0.127192131
Coloring Agents,0.127192131,0.127192131,0.127192131,0.127192131
Biogenic Amines,0.127192131,0.127192131,0.127192131,0.127192131
Hypoglycemia-Associated Agents,0.135605671,0.135605671,0.135605671,0.135605671
Amino Sugars,0.145228591,0.145228591,0.145228591,0.145228591
Hypolipidemic Agents,0.145228591,0.145228591,0.145228591,0.145228591
Hexosamines,0.145228591,0.145228591,0.145228591,0.145228591
"Anti-Infective Agents, Local",0.151466642,0.151466642,0.151466642,0.151466642
Peripheral Nervous System Agents,0.178621469,0.178621469,0.178621469,0.178621469
Opiate Alkaloids,0.18094786,0.18094786,0.18094786,0.18094786
Peripheral Vasodilators,0.18094786,0.18094786,0.18094786,0.18094786
N-substituted Glycines,0.18094786,0.18094786,0.18094786,0.18094786
Glycine,0.18094786,0.18094786,0.18094786,0.18094786
Neuroprotective Agents,0.18094786,0.18094786,0.18094786,0.18094786
Biogenic Polyamines,0.18094786,0.18094786,0.18094786,0.18094786
Parasympatholytics,0.18094786,0.18094786,0.18094786,0.18094786
Acrylates,0.18094786,0.18094786,0.18094786,0.18094786
Nitrosoureas,0.18094786,0.18094786,0.18094786,0.18094786
Morphinans,0.18094786,0.18094786,0.18094786,0.18094786
Peptoids,0.18094786,0.18094786,0.18094786,0.18094786
Herbicides,0.18094786,0.18094786,0.18094786,0.18094786
Nitroso Compounds,0.18094786,0.18094786,0.18094786,0.18094786
Anticoagulants,0.18094786,0.18094786,0.18094786,0.18094786
Aldehydes,0.18094786,0.18094786,0.18094786,0.18094786
Phenols,0.185210399,0.185210399,0.185210399,0.185210399
"Peptides, Cyclic",0.204543386,0.204543386,0.204543386,0.204543386
Nitrogen Compounds,0.204543386,0.204543386,0.204543386,0.204543386
Pyrazoles,0.207650739,0.207650739,0.207650739,0.207650739
"Acids, Carbocyclic",0.22973317,0.22973317,0.22973317,0.22973317
"Analgesics, Non-Narcotic",0.262458608,0.262458608,0.262458608,0.262458608
Nitrogen Mustard Compounds,0.271468144,0.271468144,0.271468144,0.271468144
Blood Viscosity Reducer,0.271468144,0.271468144,0.271468144,0.271468144
"Corticosteroids, Dermatological Preparations",0.271468144,0.271468144,0.271468144,0.271468144
Surgical Fixation Devices,0.271468144,0.271468144,0.271468144,0.271468144
Cytochrome P450 3A Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
Surgical Equipment,0.271468144,0.271468144,0.271468144,0.271468144
Nitric Oxide Synthase,0.271468144,0.271468144,0.271468144,0.271468144
Copper,0.271468144,0.271468144,0.271468144,0.271468144
Thiocarbamide Derivatives,0.271468144,0.271468144,0.271468144,0.271468144
Phenylalanine Hydroxylase Activator,0.271468144,0.271468144,0.271468144,0.271468144
Chalcogens,0.271468144,0.271468144,0.271468144,0.271468144
Drugs Used in Opioid Dependence,0.271468144,0.271468144,0.271468144,0.271468144
Phthalimides,0.271468144,0.271468144,0.271468144,0.271468144
Tocolytic Agents,0.271468144,0.271468144,0.271468144,0.271468144
Dodecanol,0.271468144,0.271468144,0.271468144,0.271468144
Lipase Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
Glutathione,0.271468144,0.271468144,0.271468144,0.271468144
Catechols,0.271468144,0.271468144,0.271468144,0.271468144
Biopterin,0.271468144,0.271468144,0.271468144,0.271468144
Berberine Alkaloids,0.271468144,0.271468144,0.271468144,0.271468144
Cascara,0.271468144,0.271468144,0.271468144,0.271468144
"Chymotrypsin, antagonists & inhibitors",0.271468144,0.271468144,0.271468144,0.271468144
Vitamin K Antagonists,0.271468144,0.271468144,0.271468144,0.271468144
Phosphodiesterase Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
Opioid Antagonists,0.271468144,0.271468144,0.271468144,0.271468144
Cellulose,0.271468144,0.271468144,0.271468144,0.271468144
Medicated Shampoos,0.271468144,0.271468144,0.271468144,0.271468144
Peroxisome Proliferator-activated Receptor Activity,0.271468144,0.271468144,0.271468144,0.271468144
Hydroxamic Acids,0.271468144,0.271468144,0.271468144,0.271468144
Cytochrome P-450 CYP2C8 Inhibitors (strong),0.271468144,0.271468144,0.271468144,0.271468144
Corticosteroids for Systemic Use,0.271468144,0.271468144,0.271468144,0.271468144
"Dietary Fats, Unsaturated",0.271468144,0.271468144,0.271468144,0.271468144
"Steroids, Fluorinated",0.271468144,0.271468144,0.271468144,0.271468144
Oils,0.271468144,0.271468144,0.271468144,0.271468144
Glycodeoxycholic Acid,0.271468144,0.271468144,0.271468144,0.271468144
Nitrates,0.271468144,0.271468144,0.271468144,0.271468144
Iron Chelating Agents,0.271468144,0.271468144,0.271468144,0.271468144
Neuraminidase Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
Opiate Antagonists,0.271468144,0.271468144,0.271468144,0.271468144
Protectives Against UV-Radiation for Topical Use,0.271468144,0.271468144,0.271468144,0.271468144
Angiogenesis Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
Medical Gases,0.271468144,0.271468144,0.271468144,0.271468144
Gastric Function,0.271468144,0.271468144,0.271468144,0.271468144
"Peroxisome Proliferator-Activated Receptors, agonists",0.271468144,0.271468144,0.271468144,0.271468144
Intestinal Lipase Inhibitor,0.271468144,0.271468144,0.271468144,0.271468144
Adrenals,0.271468144,0.271468144,0.271468144,0.271468144
Biguanides and Amidines,0.271468144,0.271468144,0.271468144,0.271468144
Parasympathomimetics,0.271468144,0.271468144,0.271468144,0.271468144
"Electron Transport Complex III, antagonists & inhibitors",0.271468144,0.271468144,0.271468144,0.271468144
"Nucleotides, Cyclic",0.271468144,0.271468144,0.271468144,0.271468144
"Lipase, antagonists & inhibitors",0.271468144,0.271468144,0.271468144,0.271468144
"Epilepsy, drug therapy",0.271468144,0.271468144,0.271468144,0.271468144
UGT1A6 Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
Hemorrheologic Agents,0.271468144,0.271468144,0.271468144,0.271468144
Anthraquinones,0.271468144,0.271468144,0.271468144,0.271468144
Cross-Linking Reagents,0.271468144,0.271468144,0.271468144,0.271468144
Cytochrome P-450 CYP2E1 Inhibitors (moderate),0.271468144,0.271468144,0.271468144,0.271468144
Aminobenzoates,0.271468144,0.271468144,0.271468144,0.271468144
"Oils, Volatile",0.271468144,0.271468144,0.271468144,0.271468144
Morphine Derivatives,0.271468144,0.271468144,0.271468144,0.271468144
Piperidones,0.271468144,0.271468144,0.271468144,0.271468144
Plant Extracts,0.271468144,0.271468144,0.271468144,0.271468144
Corticosteroids,0.271468144,0.271468144,0.271468144,0.271468144
Mandelic Acids,0.271468144,0.271468144,0.271468144,0.271468144
Fats,0.271468144,0.271468144,0.271468144,0.271468144
Phosphodiesterase 5 Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
"Hexokinase, antagonists & inhibitors",0.271468144,0.271468144,0.271468144,0.271468144
Lincomycins,0.271468144,0.271468144,0.271468144,0.271468144
Fish Oils,0.271468144,0.271468144,0.271468144,0.271468144
Flavones,0.271468144,0.271468144,0.271468144,0.271468144
Hydrazides,0.271468144,0.271468144,0.271468144,0.271468144
4-Hydroxycoumarins,0.271468144,0.271468144,0.271468144,0.271468144
Theobromine,0.271468144,0.271468144,0.271468144,0.271468144
Umbelliferones,0.271468144,0.271468144,0.271468144,0.271468144
Protectives Against UV-Radiation,0.271468144,0.271468144,0.271468144,0.271468144
Trypanosoma,0.271468144,0.271468144,0.271468144,0.271468144
Phthalic Acids,0.271468144,0.271468144,0.271468144,0.271468144
Clavulanic Acids,0.271468144,0.271468144,0.271468144,0.271468144
Tests for Diabetes,0.271468144,0.271468144,0.271468144,0.271468144
Lincosamide Antibacterial,0.271468144,0.271468144,0.271468144,0.271468144
Pyrimidine Analog,0.271468144,0.271468144,0.271468144,0.271468144
Azirines,0.271468144,0.271468144,0.271468144,0.271468144
Ketone Bodies,0.271468144,0.271468144,0.271468144,0.271468144
Hydroxybenzoate Ethers,0.271468144,0.271468144,0.271468144,0.271468144
Benzylisoquinolines,0.271468144,0.271468144,0.271468144,0.271468144
Nitric Oxide,0.271468144,0.271468144,0.271468144,0.271468144
Miscellaneous GI Drugs,0.271468144,0.271468144,0.271468144,0.271468144
"Diuretics, Osmotic",0.271468144,0.271468144,0.271468144,0.271468144
Carbamide products,0.271468144,0.271468144,0.271468144,0.271468144
Tissue Adhesives,0.271468144,0.271468144,0.271468144,0.271468144
Lincomycin,0.271468144,0.271468144,0.271468144,0.271468144
Eicosanoids,0.271468144,0.271468144,0.271468144,0.271468144
Protein Precursors,0.271468144,0.271468144,0.271468144,0.271468144
Pregnanes,0.271468144,0.271468144,0.271468144,0.271468144
Meglitinides,0.271468144,0.271468144,0.271468144,0.271468144
Myristic Acids,0.271468144,0.271468144,0.271468144,0.271468144
Diphenylpropylamine Derivatives,0.271468144,0.271468144,0.271468144,0.271468144
Cytochrome P-450 CYP3A5 Inducers (moderate),0.271468144,0.271468144,0.271468144,0.271468144
Inducers of Drug Clearance,0.271468144,0.271468144,0.271468144,0.271468144
Vasodilators Used in Cardiac Diseases,0.271468144,0.271468144,0.271468144,0.271468144
Benzamidines,0.271468144,0.271468144,0.271468144,0.271468144
Diarylheptanoids,0.271468144,0.271468144,0.271468144,0.271468144
Peripherally Acting Antiobesity Products,0.271468144,0.271468144,0.271468144,0.271468144
Muscarinic Agonists,0.271468144,0.271468144,0.271468144,0.271468144
Corticosteroids for Local Oral Treatment,0.271468144,0.271468144,0.271468144,0.271468144
"Fatty Acids, Omega-3",0.271468144,0.271468144,0.271468144,0.271468144
Siderophores,0.271468144,0.271468144,0.271468144,0.271468144
Equipment and Supplies,0.271468144,0.271468144,0.271468144,0.271468144
Phenylalanine Hydroxylase Activators,0.271468144,0.271468144,0.271468144,0.271468144
Phenothiazines,0.271468144,0.271468144,0.271468144,0.271468144
Hydrazines,0.271468144,0.271468144,0.271468144,0.271468144
Analogs/Derivatives,0.271468144,0.271468144,0.271468144,0.271468144
"Antineoplastic Agents, Phytogenic",0.271468144,0.271468144,0.271468144,0.271468144
Chitinase,0.271468144,0.271468144,0.271468144,0.271468144
Nootropic Agents,0.271468144,0.271468144,0.271468144,0.271468144
Nitric Acid,0.271468144,0.271468144,0.271468144,0.271468144
Thiourea,0.271468144,0.271468144,0.271468144,0.271468144
Heptanes,0.271468144,0.271468144,0.271468144,0.271468144
Dietary Fats,0.271468144,0.271468144,0.271468144,0.271468144
Porphyrinogens,0.271468144,0.271468144,0.271468144,0.271468144
"Corticosteroids for Systemic Use, Plain",0.271468144,0.271468144,0.271468144,0.271468144
Acetamides,0.271468144,0.271468144,0.271468144,0.271468144
Azole Antifungals,0.271468144,0.271468144,0.271468144,0.271468144
General Nutrients,0.271468144,0.271468144,0.271468144,0.271468144
para-Aminobenzoates,0.271468144,0.271468144,0.271468144,0.271468144
"Hydrocarbons, Fluorinated",0.271468144,0.271468144,0.271468144,0.271468144
Proinsulin,0.271468144,0.271468144,0.271468144,0.271468144
"Aminopeptidases, antagonists & inhibitors",0.271468144,0.271468144,0.271468144,0.271468144
Antimutagenic Agents,0.271468144,0.271468144,0.271468144,0.271468144
Thallium,0.271468144,0.271468144,0.271468144,0.271468144
Pregnadienes,0.271468144,0.271468144,0.271468144,0.271468144
Decreased Cell Wall Synthesis & Repair,0.271468144,0.271468144,0.271468144,0.271468144
"Chitinase, antagonists & inhibitors",0.271468144,0.271468144,0.271468144,0.271468144
Lactates,0.271468144,0.271468144,0.271468144,0.271468144
Corticosteroid Hormone Receptor Agonists,0.271468144,0.271468144,0.271468144,0.271468144
"Insulin, Long-Acting",0.271468144,0.271468144,0.271468144,0.271468144
Mustard Compounds,0.271468144,0.271468144,0.271468144,0.271468144
Peroxisome Proliferator Receptor gamma Agonist,0.271468144,0.271468144,0.271468144,0.271468144
Imidazothiazole Derivatives,0.271468144,0.271468144,0.271468144,0.271468144
Breast Cancer Resistance Protein Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
14-alpha Demethylase Inhibitors,0.271468144,0.271468144,0.271468144,0.271468144
"Corticosteroids, Moderately Potent (Group II)",0.271468144,0.271468144,0.271468144,0.271468144
Tyrosine,0.271468144,0.271468144,0.271468144,0.271468144
Bacitracins,0.271468144,0.271468144,0.271468144,0.271468144
Quinacrine,0.271468144,0.271468144,0.271468144,0.271468144
"Cytidine Deaminase, antagonists & inhibitors",0.271468144,0.271468144,0.271468144,0.271468144
Aminobutyrates,0.271468144,0.271468144,0.271468144,0.271468144
Anti-Anxiety Agents,0.271468144,0.271468144,0.271468144,0.271468144
Glycocholic Acid,0.271468144,0.271468144,0.271468144,0.271468144
Insecticides,0.271468144,0.271468144,0.271468144,0.271468144
Alkanesulfonates,0.271468144,0.271468144,0.271468144,0.271468144
Pregnadienetriols,0.271468144,0.271468144,0.271468144,0.271468144
Chloroacetates,0.271468144,0.271468144,0.271468144,0.271468144
Antiemetics,0.271468144,0.271468144,0.271468144,0.271468144
Oxidation-Reduction Agent,0.271468144,0.271468144,0.271468144,0.271468144
Cytochrome P-450 CYP2A6 Inhibitors (strong),0.271468144,0.271468144,0.271468144,0.271468144
Hematologic Activity Alteration,0.271468144,0.271468144,0.271468144,0.271468144
Cytochrome P-450 CYP3A5 Inducers,0.271468144,0.271468144,0.271468144,0.271468144
Arginine,0.271468144,0.271468144,0.271468144,0.271468144
Solutions Producing Osmotic Diuresis,0.271468144,0.271468144,0.271468144,0.271468144
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",0.271468144,0.271468144,0.271468144,0.271468144
Chenodeoxycholic Acid,0.271468144,0.271468144,0.271468144,0.271468144
Phenylalanine,0.271468144,0.271468144,0.271468144,0.271468144
Gadolinium,0.271468144,0.271468144,0.271468144,0.271468144
PPAR gamma,0.271468144,0.271468144,0.271468144,0.271468144
Insulins and Analogues for Inhalation,0.271468144,0.271468144,0.271468144,0.271468144
Hematologic Agents,0.275933102,0.275933102,0.275933102,0.275933102
Benzopyrans,0.275933102,0.275933102,0.275933102,0.275933102
Imino Acids,0.289146321,0.289146321,0.289146321,0.289146321
Lipid Regulating Agents,0.289146321,0.289146321,0.289146321,0.289146321
Cyclohexenes,0.289146321,0.289146321,0.289146321,0.289146321
Antiplatelet agents,0.289146321,0.289146321,0.289146321,0.289146321
"Anti-Inflammatory Agents, Non-Steroidal",0.289146321,0.289146321,0.289146321,0.289146321
Throat Preparations,0.289146321,0.289146321,0.289146321,0.289146321
Radiation-Sensitizing Agents,0.289146321,0.289146321,0.289146321,0.289146321
Sugar Alcohols,0.289146321,0.289146321,0.289146321,0.289146321
Cytochrome P-450 CYP2A6 Inhibitors,0.289146321,0.289146321,0.289146321,0.289146321
Photosensitizing Agents,0.298341682,0.298341682,0.298341682,0.298341682
Cytochrome P-450 CYP2C9 Inhibitors (moderate),0.298341682,0.298341682,0.298341682,0.298341682
Coumarins,0.298341682,0.298341682,0.298341682,0.298341682
Alkylating Drugs,0.298341682,0.298341682,0.298341682,0.298341682
Fatty Acid Synthesis Inhibitors,0.298341682,0.298341682,0.298341682,0.298341682
Miscellaneous Therapeutic Agents,0.298341682,0.298341682,0.298341682,0.298341682
Diamines,0.298341682,0.298341682,0.298341682,0.298341682
Other Miscellaneous Therapeutic Agents,0.298341682,0.298341682,0.298341682,0.298341682
"Adjuvants, Immunologic",0.298341682,0.298341682,0.298341682,0.298341682
Pyrrolidines,0.298341682,0.298341682,0.298341682,0.298341682
Cholinesterase Inhibitors,0.298341682,0.298341682,0.298341682,0.298341682
Trimethyl Ammonium Compounds,0.298341682,0.298341682,0.298341682,0.298341682
Cholinergic Agents,0.298341682,0.298341682,0.298341682,0.298341682
Phenanthrenes,0.298341682,0.298341682,0.298341682,0.298341682
Analgesics,0.315267221,0.315267221,0.315267221,0.315267221
Pyrimidine Nucleosides,0.323537447,0.323537447,0.323537447,0.323537447
Cytochrome P-450 CYP2C9 Substrates,0.323781477,0.323781477,0.323781477,0.323781477
BSEP/ABCB11 Substrates,0.335653333,0.335653333,0.335653333,0.335653333
Indicators and Reagents,0.347056794,0.347056794,0.347056794,0.347056794
"Amino Acids, Cyclic",0.358866578,0.358866578,0.358866578,0.358866578
Antidotes,0.375496959,0.375496959,0.375496959,0.375496959
Cytochrome P-450 CYP3A Inhibitors (strong),0.375496959,0.375496959,0.375496959,0.375496959
Cytochrome P-450 CYP3A4 Inhibitors (strong),0.375496959,0.375496959,0.375496959,0.375496959
"Macrolides, Lincosamides and Streptogramins",0.375496959,0.375496959,0.375496959,0.375496959
Sulfones,0.40997769,0.40997769,0.40997769,0.40997769
Ammonium Compounds,0.412441383,0.412441383,0.412441383,0.412441383
Cyclooxygenase Inhibitors,0.412441383,0.412441383,0.412441383,0.412441383
Cytochrome P-450 CYP2C9 Inhibitors (strong),0.412441383,0.412441383,0.412441383,0.412441383
Quaternary Ammonium Compounds,0.412441383,0.412441383,0.412441383,0.412441383
Onium Compounds,0.412441383,0.412441383,0.412441383,0.412441383
Opioids,0.412441383,0.412441383,0.412441383,0.412441383
Diagnostic Agents,0.412441383,0.412441383,0.412441383,0.412441383
Glucans,0.412441383,0.412441383,0.412441383,0.412441383
Biopolymers,0.412441383,0.412441383,0.412441383,0.412441383
Laboratory Chemicals,0.418349631,0.418349631,0.418349631,0.418349631
"Fatty Acids, Volatile",0.429703551,0.429703551,0.429703551,0.429703551
Alkaloids,0.447855307,0.447855307,0.447855307,0.447855307
Antiarrhythmic agents,0.459420069,0.459420069,0.459420069,0.459420069
Thiazoles,0.459420069,0.459420069,0.459420069,0.459420069
"Hydrocarbons, Halogenated",0.459420069,0.459420069,0.459420069,0.459420069
Biomedical and Dental Materials,0.459420069,0.459420069,0.459420069,0.459420069
"Amino Acids, Aromatic",0.459420069,0.459420069,0.459420069,0.459420069
Hypnotics and Sedatives,0.469332685,0.469332685,0.469332685,0.469332685
Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use,0.469332685,0.469332685,0.469332685,0.469332685
Putrescine,0.469332685,0.469332685,0.469332685,0.469332685
Plant Preparations,0.469332685,0.469332685,0.469332685,0.469332685
Serine Proteinase Inhibitors,0.469332685,0.469332685,0.469332685,0.469332685
i.v. Solutions,0.469332685,0.469332685,0.469332685,0.469332685
Organic Acids,0.469332685,0.469332685,0.469332685,0.469332685
Disease-modifying Antirheumatic Agents,0.469332685,0.469332685,0.469332685,0.469332685
Agents Acting on the Renin-Angiotensin System,0.469332685,0.469332685,0.469332685,0.469332685
Calcium Channel Blockers,0.469332685,0.469332685,0.469332685,0.469332685
Ethanolamines,0.469332685,0.469332685,0.469332685,0.469332685
Fluorescent Dyes,0.469332685,0.469332685,0.469332685,0.469332685
Autacoids,0.469332685,0.469332685,0.469332685,0.469332685
Complex Mixtures,0.469332685,0.469332685,0.469332685,0.469332685
Imides,0.469332685,0.469332685,0.469332685,0.469332685
Isomerism,0.469332685,0.469332685,0.469332685,0.469332685
Isoindoles,0.469332685,0.469332685,0.469332685,0.469332685
Biogenic Monoamines,0.469332685,0.469332685,0.469332685,0.469332685
Ketoses,0.469332685,0.469332685,0.469332685,0.469332685
Anthracenes,0.469332685,0.469332685,0.469332685,0.469332685
Tests for Gastric Secretion,0.469332685,0.469332685,0.469332685,0.469332685
Gallium,0.469332685,0.469332685,0.469332685,0.469332685
Monoamine Oxidase Inhibitors,0.469332685,0.469332685,0.469332685,0.469332685
"Fungicides, Industrial",0.469332685,0.469332685,0.469332685,0.469332685
Purine Derivatives,0.469332685,0.469332685,0.469332685,0.469332685
Arsenicals,0.469332685,0.469332685,0.469332685,0.469332685
"Hydrocarbons, Chlorinated",0.469332685,0.469332685,0.469332685,0.469332685
Drugs Used in Addictive Disorders,0.469332685,0.469332685,0.469332685,0.469332685
Other Nonsteroidal Antiimflammatory Agents,0.469332685,0.469332685,0.469332685,0.469332685
"Antiinflammatory Preparations, Non-Steroids for Topical Use",0.469332685,0.469332685,0.469332685,0.469332685
Anti-Dementia Drugs,0.469332685,0.469332685,0.469332685,0.469332685
Biological Products,0.469332685,0.469332685,0.469332685,0.469332685
Basic Ointments and Protectants,0.469332685,0.469332685,0.469332685,0.469332685
Choline,0.469332685,0.469332685,0.469332685,0.469332685
Macrolide Antimicrobial,0.469332685,0.469332685,0.469332685,0.469332685
Cytochrome P-450 CYP3A7 Inducers,0.469332685,0.469332685,0.469332685,0.469332685
Cytochrome P-450 CYP3A4 Inducers (moderate),0.469332685,0.469332685,0.469332685,0.469332685
Decreased Sebaceous Gland Activity,0.469332685,0.469332685,0.469332685,0.469332685
Acetic Acid Derivatives and Related Substances,0.469332685,0.469332685,0.469332685,0.469332685
Imidazole Derivatives,0.469332685,0.469332685,0.469332685,0.469332685
Antimycotics for Systemic Use,0.469332685,0.469332685,0.469332685,0.469332685
Contrast Media,0.469332685,0.469332685,0.469332685,0.469332685
Oxygen Compounds,0.469332685,0.469332685,0.469332685,0.469332685
Angiotensin-Converting Enzyme Inhibitors,0.469332685,0.469332685,0.469332685,0.469332685
Radiation-Protective Agents,0.469332685,0.469332685,0.469332685,0.469332685
Metalloporphyrins,0.469332685,0.469332685,0.469332685,0.469332685
Fibrinolytic Agents,0.469332685,0.469332685,0.469332685,0.469332685
Boron Compounds,0.469332685,0.469332685,0.469332685,0.469332685
Cytochrome P450 3A4 Inhibitors,0.469332685,0.469332685,0.469332685,0.469332685
"Antineoplastic Agents, Hormonal",0.469332685,0.469332685,0.469332685,0.469332685
"Ribonucleotide Reductases, antagonists & inhibitors",0.469332685,0.469332685,0.469332685,0.469332685
Inflammation Mediators,0.469332685,0.469332685,0.469332685,0.469332685
Trypanocidal Agents,0.469332685,0.469332685,0.469332685,0.469332685
Cytochrome P-450 CYP2B6 Inhibitors (moderate),0.469332685,0.469332685,0.469332685,0.469332685
Growth Inhibitors,0.469332685,0.469332685,0.469332685,0.469332685
Cytochrome P-450 CYP2E1 Inhibitors (strong),0.469332685,0.469332685,0.469332685,0.469332685
"Vaginal Creams, Foams, and Jellies",0.469332685,0.469332685,0.469332685,0.469332685
Topical Products for Joint and Muscular Pain,0.469332685,0.469332685,0.469332685,0.469332685
Nitrosourea Compounds,0.469332685,0.469332685,0.469332685,0.469332685
Anti-HIV Agents,0.469332685,0.469332685,0.469332685,0.469332685
Propionates,0.469332685,0.469332685,0.469332685,0.469332685
Phenyl Ethers,0.469332685,0.469332685,0.469332685,0.469332685
Platelet Aggregation Inhibitors Excl. Heparin,0.469332685,0.469332685,0.469332685,0.469332685
Steroid Synthesis Inhibitors,0.469332685,0.469332685,0.469332685,0.469332685
Antifungal Agents (Vaginal),0.469332685,0.469332685,0.469332685,0.469332685
Triazenes,0.469332685,0.469332685,0.469332685,0.469332685
Diagnostic Uses of Chemicals,0.469332685,0.469332685,0.469332685,0.469332685
Proline,0.469332685,0.469332685,0.469332685,0.469332685
Imidazole and Triazole Derivatives,0.469332685,0.469332685,0.469332685,0.469332685
Streptogramin Antibacterial,0.469332685,0.469332685,0.469332685,0.469332685
"Acids, Acyclic",0.477762439,0.477762439,0.477762439,0.477762439
Antioxidants,0.487634531,0.487634531,0.487634531,0.487634531
Pyrans,0.487634531,0.487634531,0.487634531,0.487634531
Narcotics,0.516390382,0.516390382,0.516390382,0.516390382
Organometallic Compounds,0.516390382,0.516390382,0.516390382,0.516390382
Hexosephosphates,0.516390382,0.516390382,0.516390382,0.516390382
"Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)",0.516390382,0.516390382,0.516390382,0.516390382
Polyamines,0.516390382,0.516390382,0.516390382,0.516390382
Sulfhydryl Compounds,0.516390382,0.516390382,0.516390382,0.516390382
Alkanes,0.516390382,0.516390382,0.516390382,0.516390382
Butyrates,0.516390382,0.516390382,0.516390382,0.516390382
"Amino Acids, Essential",0.537926064,0.537926064,0.537926064,0.537926064
Acetates,0.53805734,0.53805734,0.53805734,0.53805734
Imidazoles,0.53805734,0.53805734,0.53805734,0.53805734
"Hormones, Hormone Substitutes, and Hormone Antagonists",0.553273364,0.553273364,0.553273364,0.553273364
Drugs for Treatment of Tuberculosis,0.607288006,0.607288006,0.607288006,0.607288006
Miscellaneous Local Anti-infectives,0.607288006,0.607288006,0.607288006,0.607288006
Hyperglycemia-Associated Agents,0.607288006,0.607288006,0.607288006,0.607288006
Ophthalmological and Otological Preparations,0.607288006,0.607288006,0.607288006,0.607288006
